,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,10002,10192,SG,3403,Ganterschwil,Ganterschwil,11,1,1000,20,01.01.1960,2253,24,31.12.2002,31.12.2002
1,10003,10189,GR,3523,Wiesen (GR),Wiesen (GR),11,1,1000,20,01.01.1960,1957,24,31.12.2000,31.12.2000
2,10004,10189,GR,3522,Filisur,Filisur,11,1,1000,20,01.01.1960,1956,24,31.12.2000,31.12.2000
3,10005,10189,GR,3521,Bergün/Bravuogn,Bergün/Bravuogn,11,1,1000,20,01.01.1960,1955,24,31.12.2000,31.12.2000
4,10006,10189,GR,3515,Surava,Surava,11,1,1000,20,01.01.1960,1954,24,31.12.2000,31.12.2000
5,10007,10189,GR,3514,Schmitten (GR),Schmitten (GR),11,1,1000,20,01.01.1960,1953,24,31.12.2000,31.12.2000
6,10008,10189,GR,3513,Lantsch/Lenz,Lantsch/Lenz,11,1,1000,20,01.01.1960,1952,24,31.12.2000,31.12.2000
7,10009,10023,AG,4122,Villnachern,Villnachern,11,1,1000,20,01.01.1960,,,,01.01.1960
8,10010,10189,GR,3511,Alvaneu,Alvaneu,11,1,1000,20,01.01.1960,1950,24,31.12.2000,31.12.2000
9,10011,10189,GR,3506,Vaz/Obervaz,Vaz/Obervaz,11,1,1000,20,01.01.1960,1949,24,31.12.2000,31.12.2000
10,10012,10189,GR,3505,Tiefencastel,Tiefencastel,11,1,1000,20,01.01.1960,1948,24,31.12.2000,31.12.2000
11,10013,10189,GR,3504,Stierva,Stierva,11,1,1000,20,01.01.1960,1947,24,31.12.2000,31.12.2000
12,10014,10189,GR,3532,Cunter,Cunter,11,1,1000,20,01.01.1960,1959,24,31.12.2000,31.12.2000
13,10015,10189,GR,3502,Mon,Mon,11,1,1000,20,01.01.1960,1945,24,31.12.2000,31.12.2000
14,10016,10189,GR,3533,Marmorera,Marmorera,11,1,1000,20,01.01.1960,1960,24,31.12.2000,31.12.2000
15,10017,10195,SG,3444,Waldkirch,Waldkirch,11,1,1000,20,01.01.1960,2267,24,31.12.2002,31.12.2002
16,10018,10195,SG,3443,Gossau (SG),Gossau (SG),11,1,1000,20,01.01.1960,2266,24,31.12.2002,31.12.2002
17,10019,10195,SG,3442,Gaiserwald,Gaiserwald,11,1,1000,20,01.01.1960,2265,24,31.12.2002,31.12.2002
18,10020,10195,SG,3441,Andwil (SG),Andwil (SG),11,1,1000,20,01.01.1960,2264,24,31.12.2002,31.12.2002
19,10021,10204,SG,3426,Zuzwil (SG),Zuzwil (SG),11,1,1000,20,01.01.1960,2263,24,31.12.2002,31.12.2002
20,10022,10204,SG,3425,Wil (SG),Wil (SG),11,1,1000,20,01.01.1960,2262,24,31.12.2002,31.12.2002
21,10023,10204,SG,3424,Oberbüren,Oberbüren,11,1,1000,20,01.01.1960,2261,24,31.12.2002,31.12.2002
22,10024,10204,SG,3423,Niederhelfenschwil,Niederhelfenschwil,11,1,1000,20,01.01.1960,2260,24,31.12.2002,31.12.2002
23,10025,10204,SG,3422,Niederbüren,Niederbüren,11,1,1000,20,01.01.1960,2259,24,31.12.2002,31.12.2002
24,10026,10204,SG,3421,Bronschhofen,Bronschhofen,11,1,1000,20,01.01.1960,2258,24,31.12.2002,31.12.2002
25,10027,10192,SG,3407,Oberuzwil,Oberuzwil,11,1,1000,20,01.01.1960,2256,24,31.12.2002,31.12.2002
26,10028,10192,SG,3406,Mogelsberg,Mogelsberg,11,1,1000,20,01.01.1960,2255,24,31.12.2002,31.12.2002
27,10029,10193,GR,3599,Surcasti,Surcasti,11,1,1000,20,01.01.1960,1992,24,31.12.2000,31.12.2000
28,10030,10189,GR,3503,Mutten,Mutten,11,1,1000,20,01.01.1960,1946,24,31.12.2000,31.12.2000
29,10031,10193,GR,3579,Riein,Riein,11,1,1000,20,01.01.1960,1977,24,31.12.2000,31.12.2000
30,10032,10172,SG,3232,Balgach,Balgach,11,1,1000,20,01.01.1960,2192,24,31.12.2002,31.12.2002
31,10033,10193,GR,3596,Morissen,Morissen,11,1,1000,20,01.01.1960,1990,24,31.12.2000,31.12.2000
32,10034,10193,GR,3595,Lumbrein,Lumbrein,11,1,1000,20,01.01.1960,1989,24,31.12.2000,31.12.2000
33,10035,10047,VD,5612,Villette (Lavaux),Villette (Lavaux),11,1,1000,20,01.01.1960,2486,24,31.08.2006,31.08.2006
34,10036,10193,GR,3593,Duvin,Duvin,11,1,1000,20,01.01.1960,1987,24,31.12.2000,31.12.2000
35,10037,10185,NE,6486,Villiers,Villiers,11,1,1000,20,01.01.1960,3402,29,31.12.2012,31.12.2012
36,10038,10193,GR,3591,Camuns,Camuns,11,1,1000,20,01.01.1960,1985,24,31.12.2000,31.12.2000
37,10039,10193,GR,3587,Versam,Versam,11,1,1000,20,01.01.1960,1984,24,31.12.2000,31.12.2000
38,10040,10193,GR,3586,Valendas,Valendas,11,1,1000,20,01.01.1960,1983,24,31.12.2000,31.12.2000
39,10041,10193,GR,3584,Sevgein,Sevgein,11,1,1000,20,01.01.1960,1982,24,31.12.2000,31.12.2000
40,10042,10193,GR,3583,Schnaus,Schnaus,11,1,1000,20,01.01.1960,1981,24,31.12.2000,31.12.2000
41,10043,10023,AG,4121,Villigen,Villigen,11,1,1000,20,01.01.1960,2334,26,31.12.2005,31.12.2005
42,10044,10189,GR,3531,Bivio,Bivio,11,1,1000,20,01.01.1960,1958,24,31.12.2000,31.12.2000
