"standort_beschreibung","adresse_beschreibung","lat","lon","anzahl_kameras_aussen","anzahl_kameras_innen","anzahl_kameras_gsa","bereich_detail_beschreibung","aufbewahrungsdauer","verantwortliche_da","rechtsgrundlage_url"
"EWZ Unterwerk Auwiesen","Aubruggweg 21, 8050 Zürich, Switzerland","47.41234","8.570868","1","0","0","Einfahrtstor zum Haupteingang des UW Auwiesen / Aubrugg und Freileitergebäudes sowie der unmittelbar davor verlaufende Abschnitt des Aubruggwegs","15","Elektrizitätswerk der Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/870-reglement-videoueberwachung-ewz.html"
"EWZ Werkhof Herdern","Pfingstweidstrasse 85, 8005 Zürich, Switzerland","47.389235","8.512313","1","0","0","Hauptschiebetor bei Haupteinfahrt","15","Elektrizitätswerk der Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/870-reglement-videoueberwachung-ewz.html"
"Museum Rietberg","Gablerstrasse 17, 8002 Zürich, Switzerland","47.358889","8.529738","0","29","0","Aussen-/ Innenbereich","14","Museum Rietberg","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/810-reglement-videoueberwachung-museum-rietberg-zuerich.html"
"Organisation- und Informatik Stadt Zürich, Gebäude Albis","Albisriederstrasse 201, 8047 Zürich, Switzerland","47.37748","8.495472","1","0","0","Eingangsschleuse","17","Organisation und Information Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/820.html"
"Stadtspital Zürich, Standort Triemli","Birmensdorferstrasse 497, 8055 Zürich, Switzerland","47.365798","8.497383","274","25","0","Ein-/Ausgänge für Personen, Ein-/Ausfahrten für Fahrzeuge, Korridore, Liftkabinen, Wartezonen, Helikopterlandeplatz, Garage/Tiefgarage","14","Stadtspital Triemli","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/840-reglement-videoueberwachung-stadtspital-triemli.html"
"Stadtspital Zürich, Standort Waid","Tièchestrasse 99, 8037 Zürich, Switzerland","47.399006","8.520124","11","6","0","Ein-/Ausgänge für Personen, Ein-/Ausfahrten für Fahrzeuge, Korridore, Liftkabinen, Wartezonen, Helikopterlandeplatz, Garage/Tiefgarage","14","Stadtspital Waid","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/840-reglement-videoueberwachung-stadtspital-triemli.html"
"Velostation Europaplatz","Kasernenstrasse 100, 8004 Zürich, Switzerland","47.37705","8.53553","0","15","0","Die Videoüberwachung erfolgt in allen für Kundinnen und Kunden zugänglichen Bereichen der Velostation Europaplatz","14","Tiefbauamt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/850.html"
"Grundwasserwerk Hardhof","Hardhof 9, 8064 Zürich, Switzerland","47.397881","8.496264","3","0","0","gem. 236.871 Reglement Videoüberwachung Wasserversorgung","10","Wasserversorgung Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/871.html"
"Seewasserwerk Lengg","Enzenbühlstrasse 21, 8008 Zürich, Switzerland","47.34951","8.57227","2","0","0","gem. 236.871 Reglement Videoüberwachung Wasserversorgung","10","Wasserversorgung Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/871.html"
"Seewasserwerk Moos","Zwängiweg, 8038 Zürich, Switzerland","47.3324","8.53041","1","0","0","gem. 236.871 Reglement Videoüberwachung Wasserversorgung","10","Wasserversorgung Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/871.html"
