geo_point_2d;geo_shape;id_kj;ki_angebot;ju_angebot;traeger;angebot;strasse_nr;plz;ort;kanton;link
47.57890141981266, 7.58893551534885;"{""coordinates"": [7.58893551534885, 47.57890141981266], ""type"": ""Point""}";46;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Spielbude Ackermätteli;Ackermätteli;4057;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/kinderferienstaedte.php
47.563579455608185, 7.624104950781715;"{""coordinates"": [7.624104950781715, 47.563579455608185], ""type"": ""Point""}";57;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Quartierspielplatz Robi Allmend;Allmendstrasse 219;4058;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.56359737944188, 7.624144876412916;"{""coordinates"": [7.624144876412916, 47.56359737944188], ""type"": ""Point""}";100;FALSE;TRUE;Verein Robi-Spiel-Aktionen;Quartierspielplatz Robi Allmend;Allmendstrasse 219;4058;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.56973298869414, 7.617176044368002;"{""coordinates"": [7.617176044368002, 47.56973298869414], ""type"": ""Point""}";27;TRUE;FALSE;ELCH Eltern Centrum Hirzbrunnen;Kids-Treff;Allmendstrasse 36;4058;Basel-Stadt;BS;http://www.quartiertreffpunktebasel.ch/quartier-treffpunkte-basel/elch-eltern-centrum-hirzbrunnen/offener-treffpunkt.php
47.55170581594517, 7.573089962764659;"{""coordinates"": [7.573089962764659, 47.55170581594517], ""type"": ""Point""}";24;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Neubad;Brennerstrasse 9;4054;Basel-Stadt;BS;https://www.neubad-juarbasel.ch/
47.54171301831721, 7.5932578783959785;"{""coordinates"": [7.593257878395979, 47.54171301831721], ""type"": ""Point""}";114;TRUE;FALSE;Familienzentrum Gundeldingen (FAZ);Kinderdisco;Dornacherstrasse 192;4053;Basel-Stadt;BS;https://www.qtp-basel.ch/wp-content/uploads/2019/05/Programm_1-2021_Faz_web.pdf
47.554403137283316, 7.582065755259769;"{""coordinates"": [7.582065755259769, 47.554403137283316], ""type"": ""Point""}";111;FALSE;TRUE;Verein Eulerstroos nüün;Jugendtreffpunkt Lounge;Eulerstrasse 9;4051;Basel-Stadt;BS;https://www.e-9.ch/teens/lounge
47.55436889089015, 7.582122790732951;"{""coordinates"": [7.582122790732951, 47.55436889089015], ""type"": ""Point""}";112;FALSE;TRUE;Verein Eulerstroos nüün;Jugendtreffpunkt Tag Eins;Eulerstrasse 9;4051;Basel-Stadt;BS;https://www.e-9.ch/teens/tag-eins
47.579169071470446, 7.603822927083188;"{""coordinates"": [7.603822927083188, 47.579169071470446], ""type"": ""Point""}";87;TRUE;FALSE;Jugendrotkreuz Basel;Spielabend für Kinder aus asylsuchenden Familien im Empfangs- und Verfahrenszentrum;Freiburgerstrasse 50;4057;Basel-Stadt;BS;Schweizerisches Rotes Kreuz Kanton Basel-Stadt :: Aktivitäten im Migrationsbereich (srk-basel.ch)
47.575939440749075, 7.591292948019986;"{""coordinates"": [7.591292948019986, 47.575939440749075], ""type"": ""Point""}";6;TRUE;FALSE;Verein Druckstelle;Druckstelle;Gärtnerstrasse 46;4057;Basel-Stadt;BS;https://www.druck-stelle.ch/
47.56729426595167, 7.592995759755263;"{""coordinates"": [7.592995759755263, 47.56729426595167], ""type"": ""Point""}";86;TRUE;FALSE;Evangelische Stadtmission / Kirchgemeinde Kleinbasel;Villa YoYo Matthäuskirche;Gemeindezentrum St. Matthäus, Feldbergstrasse 81;4057;Basel-Stadt;BS;https://www.erk-bs.ch/kg/kleinbasel/m/v/138311
47.54280901770437, 7.594862927044424;"{""coordinates"": [7.594862927044424, 47.54280901770437], ""type"": ""Point""}";117;FALSE;TRUE;Verein JuAr Basel;Mädona: Mädchentreffpunkt Gundeli;Güterstrasse 211;4053;Basel-Stadt;BS;https://www.maedona.ch/
47.572111509657304, 7.608359514205767;"{""coordinates"": [7.608359514205767, 47.572111509657304], ""type"": ""Point""}";50;TRUE;FALSE;Verein Allwäg;Mobile Spielanimation Schorenmatten;In den Schorenmatten 97;4057;Basel-Stadt;BS;http://www.allwäg.ch/index.php
47.539269614901166, 7.593100723057904;"{""coordinates"": [7.593100723057904, 47.539269614901166], ""type"": ""Point""}";45;FALSE;TRUE;Stiftung IdéeSport;Midnightsports Gundeli;Ingelsteinweg 6;4053;Basel-Stadt;BS;https://www.ideesportworknet.ch/de/magazine/standort/13629
47.57760642256412, 7.588865413368752;"{""coordinates"": [7.588865413368752, 47.57760642256412], ""type"": ""Point""}";97;FALSE;TRUE;Verein Mobile Jugendarbeit Basel;Dini Halle: Spiel, Sport in der Turnhalle;Inselschulhaus, Inselstrasse 45;4057;Basel-Stadt;BS;https://www.mjabasel.ch/projekte/dini-halle
47.58092189439788, 7.59132048894294;"{""coordinates"": [7.59132048894294, 47.58092189439788], ""type"": ""Point""}";78;FALSE;TRUE;Verein Haus für Kinder und Eltern;Spielwerkstatt Kleinhüningen;Kleinhüningerstrasse 205;4057;Basel-Stadt;BS;http://www.spielwerkstattbasel.ch/Spielwerkstatt-Kleinhueningen/Spielwerkstatt-Kleinhueningen-28
47.58292006217497, 7.59217427228698;"{""coordinates"": [7.59217427228698, 47.58292006217497], ""type"": ""Point""}";118;TRUE;FALSE;Verein Allwäg;Mobile Spielanimation Kleinhüningen;Kronenplatz;4057;Basel-Stadt;BS;http://www.allwäg.ch/index.php
47.542062688601135, 7.596084050186632;"{""coordinates"": [7.596084050186632, 47.542062688601135], ""type"": ""Point""}";32;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Kindertankstelle Liesbergermatte;Liesbergermatte;4053;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/kindertankstelle.php
47.572030813411985, 7.57377901805125;"{""coordinates"": [7.57377901805125, 47.572030813411985], ""type"": ""Point""}";77;TRUE;FALSE;Verein Spielhalle Volta;Spielhalle Volta;Lothringerstrasse 165;4056;Basel-Stadt;BS;http://www.spielhalle-volta.ch/
47.568375412540284, 7.577158455340582;"{""coordinates"": [7.577158455340582, 47.568375412540284], ""type"": ""Point""}";28;TRUE;FALSE;Quartiertreffpunkt LoLa;Kinderbistro;Lothringerstrasse 63;4056;Basel-Stadt;BS;http://www.quartiertreffpunktebasel.ch/quartier-treffpunkte-basel/quartiertreffpunkt-lola/offener-treffpunkt.php
47.567537165306, 7.59294330703929;"{""coordinates"": [7.59294330703929, 47.567537165306], ""type"": ""Point""}";49;TRUE;FALSE;Verein Allwäg;Mobile Spielanimation Mätthauspark;Mätthäuspark;4057;Basel-Stadt;BS;http://www.allwäg.ch/index.php
47.54548826960661, 7.590090131768785;"{""coordinates"": [7.590090131768785, 47.54548826960661], ""type"": ""Point""}";56;FALSE;TRUE;Verein JuAr Basel;Purple Park;Meret Oppenheimstr. 80;4053;Basel-Stadt;BS;http://www.purplepark.ch/
47.571139972564275, 7.610349871634344;"{""coordinates"": [7.610349871634344, 47.571139972564275], ""type"": ""Point""}";119;TRUE;FALSE;Verein Allwäg;Mobile Spielanimation Schoren;Schorenweg 33;4057;Basel-Stadt;BS;http://www.allwäg.ch/index.php
47.57086961605248, 7.610109788982893;"{""coordinates"": [7.610109788982893, 47.57086961605248], ""type"": ""Point""}";110;FALSE;TRUE;Verein Mobile Jugendarbeit Basel;Dini Halle: Spiel, Sport in der Turnhalle;Schulhaus Schoren, Schorenweg 23;4058;Basel-Stadt;BS;https://www.mjabasel.ch/projekte/dini-halle
47.55269319879252, 7.5747530740044535;"{""coordinates"": [7.574753074004454, 47.55269319879252], ""type"": ""Point""}";73;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Spielbude Schützenmatte;Schützenmatte;4054;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/kinderferienstaedte.php
47.56795667347071, 7.581330066959596;"{""coordinates"": [7.581330066959596, 47.56795667347071], ""type"": ""Point""}";103;TRUE;FALSE;Verein Spilruum Basel;Kindertreffpunkt Spilruum: Mädchentreffpunkt;St. Johanns-Park 1;4056;Basel-Stadt;BS;http://www.spilruum.ch/Maedchentreff/
47.541820538518195, 7.595578608667394;"{""coordinates"": [7.595578608667394, 47.541820538518195], ""type"": ""Point""}";62;TRUE;FALSE;Jugendrotkreuz Basel;Rotkreuz-Forschungsclub;Thiersteinerschulhaus, Bärschwilerstrasse 11;4053;Basel-Stadt;BS;https://srk-basel.ch/jugendrotkreuz/jugendrotkreuz/unsere-aktivitaeten/einsatzmoeglichkeiten-im-migrationsbereich-mit-kindern/rotkreuz-forschungsclub
47.56984511499163, 7.581521162228568;"{""coordinates"": [7.581521162228568, 47.56984511499163], ""type"": ""Point""}";44;FALSE;TRUE;Verein Mobile Jugendarbeit Basel;Midnightsports 4056;Voltaschulhaus, Wasserstrasse 40;4056;Basel-Stadt;BS;http://www.ideesportworknet.ch/de/magazine/standort/6357
47.568034782660206, 7.559988363327899;"{""coordinates"": [7.559988363327899, 47.568034782660206], ""type"": ""Point""}";88;TRUE;FALSE;Jugendrotkreuz Basel;Spielabend für Kinder mit Migrationshintergrund;Waldighoferstrasse 20;4056;Basel-Stadt;BS;https://srk-basel.ch/jugendrotkreuz/jugendrotkreuz/unsere-aktivitaeten/einsatzmoeglichkeiten-im-migrationsbereich-mit-kindern/spielabende-fuer-kinder-im-theodor-herzl-quartier
47.57290686043431, 7.6397931318935735;"{""coordinates"": [7.639793131893573, 47.57290686043431], ""type"": ""Point""}";107;FALSE;TRUE;Stiftung Idée Sport;Open Sunday Riehen;Wasserstelzenschulhaus, Wasserstelzenweg 15;4125;Riehen;BS;https://www.ideesportworknet.ch/de/magazine/standort/840680
47.55398981267282, 7.60791661368474;"{""coordinates"": [7.60791661368474, 47.55398981267282], ""type"": ""Point""}";20;FALSE;TRUE;Verein Jugendzentrum Breite;Jugendzentrum Breite;Weidengasse 53;4052;Basel-Stadt;BS;http://www.jugi-breiti.ch/
47.57345959891616, 7.594902128103352;"{""coordinates"": [7.594902128103352, 47.57345959891616], ""type"": ""Point""}";120;FALSE;TRUE;Verein Robi-Spiel-Aktionen;Quartierspielplatz Robi Horburg;Wiesenschanzweg 49;4057;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.576079056412645, 7.587651645413759;"{""coordinates"": [7.587651645413759, 47.576079056412645], ""type"": ""Point""}";51;TRUE;TRUE;Verein Musikpalast;Musiklabor;Altrheinweg 38;4057;Basel-Stadt;BS;https://musikpalast.ch/offene-angebote/musiklabor/
47.58213290546468, 7.650754322758911;"{""coordinates"": [7.650754322758911, 47.58213290546468], ""type"": ""Point""}";105;TRUE;TRUE;Freizeitzentrum Landauer;"""""""2wei"""": Kinder-/Familientreffpunkt""";Bahnhofstrasse 61;4125;Riehen;BS;https://www.riehen.ch/sites/default/files/documents/2wei_flyer_2020.pdf
47.585443927357886, 7.650009788858903;"{""coordinates"": [7.650009788858903, 47.585443927357886], ""type"": ""Point""}";104;FALSE;TRUE;Verein Offene Tür Riehen;Jugendtreff Go-In;Baselstrasse 53;4125;Riehen;BS;www.jugendarbeitriehen.ch
47.55174186738145, 7.573023629526253;"{""coordinates"": [7.573023629526253, 47.55174186738145], ""type"": ""Point""}";1;FALSE;TRUE;Anyway (Mitglied habs Basel);anyway: Basler Treff für queere Jugendliche;Brennerstrasse 9;4054;Basel-Stadt;BS;http://www.anyway-basel.ch/
47.558163731055934, 7.601020924023845;"{""coordinates"": [7.601020924023845, 47.558163731055934], ""type"": ""Point""}";90;FALSE;FALSE;Quartiertreffpunkt Wettstein;Raum für Junge: Autonome Raumnutzungsmöglichkeit;Burgweg 7;4058;Basel-Stadt;BS;http://www.quartiertreffpunktebasel.ch/quartier-treffpunkte-basel/quartiertreffpunkt-wettstein/offener-treffpunkt.php
47.541607796746895, 7.593253589140225;"{""coordinates"": [7.593253589140225, 47.541607796746895], ""type"": ""Point""}";76;TRUE;FALSE;Verein Robi-Spiel-Aktionen;SpielFeld;Dornacherstrasse 192;4053;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.572114189634235, 7.60014636799571;"{""coordinates"": [7.60014636799571, 47.572114189634235], ""type"": ""Point""}";84;FALSE;TRUE;Quartiertreffpunkt Rosental;WoZi;Erlkönigweg 30;4058;Basel-Stadt;BS;http://www.gleis58.ch/programm/woechentliches_programm
47.55444821367265, 7.581978192208773;"{""coordinates"": [7.581978192208773, 47.55444821367265], ""type"": ""Point""}";38;FALSE;TRUE;Verein Eulerstroos nüün;Ladiesnight (Mädchentreffpunkt);Eulerstrasse 9;4051;Basel-Stadt;BS;https://www.e-9.ch/teens/ladiesnight/
47.57918713406762, 7.60376981633863;"{""coordinates"": [7.60376981633863, 47.57918713406762], ""type"": ""Point""}";89;FALSE;TRUE;Jugendrotkreuz Basel;Spielabend für (minderjährige) Jugendliche Asylsuchende im Empfangs- und Verfahrenszentrum;Freiburgerstrasse 50;4057;Basel-Stadt;BS;Schweizerisches Rotes Kreuz Kanton Basel-Stadt :: Aktivitäten im Migrationsbereich (srk-basel.ch)
47.54713978539535, 7.562438291567102;"{""coordinates"": [7.562438291567102, 47.54713978539535], ""type"": ""Point""}";26;TRUE;FALSE;ev-ref. KG Stephanus;Kidstreff Stephanus;Furkastrasse 12;4054;Basel-Stadt;BS;https://www.erk-bs.ch/kg/baselwest/kids-traeff
47.57599333295529, 7.591346265573519;"{""coordinates"": [7.591346265573519, 47.57599333295529], ""type"": ""Point""}";71;TRUE;FALSE;Verein Raum frei für Kinder;Spielboden Klybeck;Gärtnerstrasse 46;4057;Basel-Stadt;BS;http://www.spielboden-klybeck.ch/
47.580071259441546, 7.589813414708462;"{""coordinates"": [7.589813414708462, 47.580071259441546], ""type"": ""Point""}";72;TRUE;FALSE;Evangelische Stadtmission;Spielbox: offener Spieltreffpunkt;Giessliweg 58;4057;Basel-Stadt;BS;http://www.stadtmission-bs.ch/?rub=78
47.55694963957328, 7.587505273984951;"{""coordinates"": [7.587505273984951, 47.55694963957328], ""type"": ""Point""}";93;FALSE;TRUE;Verein JuAr Basel / GGG Stadtbibliothek Basel;offene Jugendarbeit in der Bibiliothek Schmiedenhof;Im Schmiedenhof 10;4001;Basel-Stadt;BS;https://www.stadtbibliothekbasel.ch/de/jugendarbeit.html
47.57763345482941, 7.588825615618214;"{""coordinates"": [7.588825615618214, 47.57763345482941], ""type"": ""Point""}";53;TRUE;FALSE;Stiftung IdéeSport;OpenSunday Kleinbasel;Inselstrasse 45;4057;Basel-Stadt;BS;https://www.ideesportworknet.ch/de/magazine/standort/570031
47.58015876524549, 7.590989996116127;"{""coordinates"": [7.590989996116127, 47.58015876524549], ""type"": ""Point""}";113;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Kleinhüningen Chillout;Kleinhüningerstrasse 183;4057;Basel-Stadt;BS;https://www.jugi-chillout.ch/
47.5808679848765, 7.591280458495074;"{""coordinates"": [7.591280458495074, 47.5808679848765], ""type"": ""Point""}";79;TRUE;FALSE;Verein Haus für Kinder und Eltern;Spielwerkstatt Kleinhüningen;Kleinhüningerstrasse 205;4057;Basel-Stadt;BS;http://www.spielwerkstattbasel.ch/Spielwerkstatt-Kleinhueningen/Spielwerkstatt-Kleinhueningen-28
47.5638161462138, 7.591138698813642;"{""coordinates"": [7.591138698813642, 47.5638161462138], ""type"": ""Point""}";74;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Spiel-Estrich Kaserne;Klybeckstrasse 1b;4057;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.57151182000843, 7.635123163289194;"{""coordinates"": [7.635123163289194, 47.57151182000843], ""type"": ""Point""}";106;FALSE;TRUE;Trägerverein Midnight Sports Riehen;Midnight Sports Riehen;Niederholzschulhaus, Niederholzstrasse 95;4125;Riehen;BS;https://www.ideesportworknet.ch/de/magazine/standort/6358
47.55906846101669, 7.58329932074727;"{""coordinates"": [7.58329932074727, 47.55906846101669], ""type"": ""Point""}";29;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Kinderflohmarkt auf dem Peti's;Petersplatz;4051;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/kinderferienstaedte.php
47.570566679290366, 7.5870648139998815;"{""coordinates"": [7.587064813999882, 47.570566679290366], ""type"": ""Point""}";92;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Dreirosen: Mädchentreffpunkt;Unterer Rheinweg 168;4057;Basel-Stadt;BS;https://www.dreirosen-jugendzentrum.ch/oeffnungszeiten
47.563132104354494, 7.5610535378671635;"{""coordinates"": [7.561053537867163, 47.563132104354494], ""type"": ""Point""}";17;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Bachgraben;Bachgrabenpromenade;4055;Basel-Stadt;BS;https://www.bachgraben-juarbasel.ch/
47.56869976111844, 7.5911127803860055;"{""coordinates"": [7.591112780386005, 47.56869976111844], ""type"": ""Point""}";94;FALSE;TRUE;Verein JuAr Basel / GGG Stadtbibliothek Basel;offene Jugendarbeit in der Bibliothek Bläsi;Bläsiring 85;4057;Basel-Stadt;BS;https://www.stadtbibliothekbasel.ch/de/jugendarbeit.html
47.570035513850904, 7.635915085797352;"{""coordinates"": [7.635915085797352, 47.570035513850904], ""type"": ""Point""}";108;TRUE;TRUE;Freizeitzentrum Landauer;Freizeitzentrum Landauer;Bluttrainweg 12;4125;Riehen;BS;https://www.landauer.ch/
47.57017830679587, 7.6365667958392525;"{""coordinates"": [7.636566795839252, 47.57017830679587], ""type"": ""Point""}";109;FALSE;TRUE;Freizeitzentrum Landauer;Jugendarbeit Riehen: Jugendzentrum und mobile Jugendarbeit;Bluttrainweg 20;4125;Riehen;BS;www.jugendarbeitriehen.ch
47.563541354902, 7.594898345423289;"{""coordinates"": [7.594898345423289, 47.563541354902], ""type"": ""Point""}";31;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Kindertankstelle Claramatte;Claramatte;4057;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/kindertankstelle.php
