geo_point_2d;geo_shape;id_zst;name;gemeinde;klasse;kombiniert;art;arme;fahrstreif;zweck;typ;strtyp;eigentum;betriebnah;betriebzus;link;format
47.577066894960154, 7.598886259068891;"{""coordinates"": [7.598886259068891, 47.577066894960154], ""type"": ""Point""}";140;A2-A5, Grenzbruecke;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;4.0;MIV;Induktionsschlaufen;Hochleistungsstrasse (HLS);Kanton Basel-Stadt;1980-11-01T00:00:00+00:00;ausser Betrieb;;xlsx
47.57622993234777, 7.56548624683999;"{""coordinates"": [7.56548624683999, 47.57622993234777], ""type"": ""Point""}";234;A3-A35, Grenze CH-F, lokal LFZ;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;6.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2006-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.54878180606703, 7.615167605156566;"{""coordinates"": [7.615167605156566, 47.54878180606703], ""type"": ""Point""}";302;A2 Gellert-Nord;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;4.0;MIV;Induktionsschlaufen;Hochleistungsstrasse (HLS);Kanton Basel-Stadt;2000-01-01T00:00:00+00:00;ausser Betrieb;;xlsx
47.55660560407289, 7.564763290524087;"{""coordinates"": [7.564763290524087, 47.55660560407289], ""type"": ""Point""}";336;Im langen Loh 2;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;1.0;MIV;Induktionsschlaufen LSA;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2015-04-01T00:00:00+00:00;in Betrieb;;xlsx
47.55208329837247, 7.586770343609926;"{""coordinates"": [7.586770343609926, 47.55208329837247], ""type"": ""Point""}";403;Heuwaage-Viadukt;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;4.0;MIV+Velo/Moto;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2001-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.573906757555356, 7.602215583648606;"{""coordinates"": [7.602215583648606, 47.573906757555356], ""type"": ""Point""}";411;Fasanenstrasse (DB-Bruecke);Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;4.0;MIV;Induktionsschlaufen;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2000-09-01T00:00:00+00:00;in Betrieb;;xlsx
47.54458031697259, 7.586210091806088;"{""coordinates"": [7.586210091806088, 47.54458031697259], ""type"": ""Point""}";412;Dornacherstrasse 49;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;2.0;MIV;Induktionsschlaufen;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2000-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.54518754150135, 7.601743901702689;"{""coordinates"": [7.601743901702689, 47.54518754150135], ""type"": ""Point""}";415;Grosspeterstrasse 45;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;3.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2000-09-01T00:00:00+00:00;in Betrieb;;xlsx
47.5487720164889, 7.600745516688138;"{""coordinates"": [7.600745516688138, 47.5487720164889], ""type"": ""Point""}";417;Sevogelstrasse 91;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;1.0;MIV;Induktionsschlaufen;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2000-09-01T00:00:00+00:00;in Betrieb;;xlsx
47.54630020536104, 7.59561056880367;"{""coordinates"": [7.59561056880367, 47.54630020536104], ""type"": ""Point""}";420;Nauenstrasse 73;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;4.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2004-10-01T00:00:00+00:00;in Betrieb;;xlsx
