id_platz;typ;strasse;tarif;anzvelos;anschliess;gedeckt;zugang;infos;cargovelo;bikeride;velospot;geo_point_2d;geo_shape
2;Veloverleih;Riehenring;Gebührenfrei;-99;nicht anschliessbar;nein;;;;nein;exklusiv;47.5645816282188, 7.598808449037411;"{""coordinates"": [7.598808449037411, 47.5645816282188], ""type"": ""Point""}"
7;Veloverleih;Nauenstrasse;Gebührenfrei;-99;nicht anschliessbar;nein;;;;nein;exklusiv;47.547017060243924, 7.593590073923707;"{""coordinates"": [7.593590073923707, 47.547017060243924], ""type"": ""Point""}"
14;Veloverleih;Rosentalstrasse;Gebührenfrei;-99;nicht anschliessbar;nein;;;;nein;exklusiv;47.56583063467123, 7.605871736367866;"{""coordinates"": [7.605871736367866, 47.56583063467123], ""type"": ""Point""}"
17;Veloverleih;Beim Wagdenhals;Gebührenfrei;-99;anschliessbar;nein;;;;nein;exklusiv;47.55172435085278, 7.587481784602014;"{""coordinates"": [7.587481784602014, 47.55172435085278], ""type"": ""Point""}"
18;Cargovelo/Velo mit Anhänger;Solothurnerstrasse;Gebührenfrei;-99;nicht anschliessbar;nein;;;;nein;;47.54421601946334, 7.590373648059339;"{""coordinates"": [7.590373648059339, 47.54421601946334], ""type"": ""Point""}"
21;Cargovelo/Velo mit Anhänger;Mörsbergerstrasse;Gebührenfrei;-99;nicht anschliessbar;nein;;;;nein;;47.5668531882009, 7.593632561952375;"{""coordinates"": [7.593632561952375, 47.5668531882009], ""type"": ""Point""}"
22;Cargovelo/Velo mit Anhänger;Untere Rebgasse;Gebührenfrei;-99;nicht anschliessbar;nein;;;;nein;;47.56226086201548, 7.592528679096582;"{""coordinates"": [7.592528679096582, 47.56226086201548], ""type"": ""Point""}"
25;Cargovelo/Velo mit Anhänger;Allschwilerstrasse;Gebührenfrei;-99;nicht anschliessbar;nein;;;;nein;;47.5561459605428, 7.573060237734949;"{""coordinates"": [7.573060237734949, 47.5561459605428], ""type"": ""Point""}"
29;Cargovelo/Velo mit Anhänger;Müllheimerstrasse;Gebührenfrei;-99;nicht anschliessbar;nein;;;;nein;;47.56707887054297, 7.592571296187977;"{""coordinates"": [7.592571296187977, 47.56707887054297], ""type"": ""Point""}"
31;Cargovelo/Velo mit Anhänger;Utengasse;Gebührenfrei;-99;nicht anschliessbar;nein;;;;nein;;47.56006009372159, 7.593123820006744;"{""coordinates"": [7.593123820006744, 47.56006009372159], ""type"": ""Point""}"
41;Velos;Schorenweg;Gebührenfrei;16;nicht anschliessbar;nein;;;;nein;;47.57409434682036, 7.612332366104758;"{""coordinates"": [7.612332366104758, 47.57409434682036], ""type"": ""Point""}"
44;Velos;Chrischonastrasse;Gebührenfrei;8;nicht anschliessbar;nein;;;;nein;;47.55983684902234, 7.60448370896215;"{""coordinates"": [7.60448370896215, 47.55983684902234], ""type"": ""Point""}"
48;Velos;Bärenfelserstrasse;Gebührenfrei;9;nicht anschliessbar;nein;;;;nein;;47.567925848043664, 7.587639232892024;"{""coordinates"": [7.587639232892024, 47.567925848043664], ""type"": ""Point""}"
54;Velos;Furkastrasse;Gebührenfrei;10;nicht anschliessbar;nein;;;;nein;;47.54678947093325, 7.562182304008201;"{""coordinates"": [7.562182304008201, 47.54678947093325], ""type"": ""Point""}"
