geo_point_2d;geo_shape;id_rs;name;status;adresse;plz;ort;webseite
47.56395360357057, 7.5951702387367;"{""coordinates"": [7.5951702387367, 47.56395360357057], ""type"": ""Point""}";41;Klingentalstrasse;1;Klingentalstrasse 45;4057;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.57706910160135, 7.590988940598603;"{""coordinates"": [7.590988940598603, 47.57706910160135], ""type"": ""Point""}";34;Inselstrasse;1;Inselstrasse 76;4057;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.55988508236789, 7.567473976926733;"{""coordinates"": [7.567473976926733, 47.55988508236789], ""type"": ""Point""}";49;Helvetiaplatz;1;St.Galler-Ring 7;4055;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.565749635903884, 7.582115741825109;"{""coordinates"": [7.582115741825109, 47.565749635903884], ""type"": ""Point""}";9;St.Johanns-Platz;1;St.Johanns-Platz 8;4056;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.56936820300773, 7.603044593868991;"{""coordinates"": [7.603044593868991, 47.56936820300773], ""type"": ""Point""}";44;Erlenstrasse;1;Erlenstrasse 74;4058;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.571158023751195, 7.615778821507422;"{""coordinates"": [7.615778821507422, 47.571158023751195], ""type"": ""Point""}";35;Eglisee;1;Fasanenstrasse 182;4058;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.56186179155145, 7.592325136460353;"{""coordinates"": [7.592325136460353, 47.56186179155145], ""type"": ""Point""}";51;Teichgässlein;1;Teichgässlein 7;4058;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.565536233934914, 7.58011296318104;"{""coordinates"": [7.58011296318104, 47.565536233934914], ""type"": ""Point""}";48;Spitalstrasse;1;Spitalstrasse 52;4056;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.53419514352228, 7.587300034251331;"{""coordinates"": [7.587300034251331, 47.53419514352228], ""type"": ""Point""}";28;Bruderholzallee;1;Bruderholzallee 32;4059;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.5522639546177, 7.595986593251725;"{""coordinates"": [7.595986593251725, 47.5522639546177], ""type"": ""Point""}";2;Brunngässlein;1;Brunngässlein 41;4052;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.55540733374301, 7.614341563315784;"{""coordinates"": [7.614341563315784, 47.55540733374301], ""type"": ""Point""}";21;Zürcherstrasse;1;Zürcherstrasse 158;4052;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.547079228305215, 7.618693360368124;"{""coordinates"": [7.618693360368124, 47.547079228305215], ""type"": ""Point""}";52;Gellertstrasse;1;Gellertstrasse 151;4052;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.54299445155724, 7.594936603432355;"{""coordinates"": [7.594936603432355, 47.54299445155724], ""type"": ""Point""}";23;Tellplatz;1;Tellstrasse 2;4053;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.567409487136636, 7.56355271542136;"{""coordinates"": [7.56355271542136, 47.567409487136636], ""type"": ""Point""}";5;Bungestrasse;1;Bungestrasse 6;4055;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.56029073872681, 7.618695763125138;"{""coordinates"": [7.618695763125138, 47.56029073872681], ""type"": ""Point""}";37;Grenzacherstrasse;1;Grenzacherstrasse/ Grenzacher-Promenade;4058;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.56591125634546, 7.5620881237676825;"{""coordinates"": [7.562088123767682, 47.56591125634546], ""type"": ""Point""}";4;Michelbacherstrasse;1;Michelbacherstrasse 8;4055;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.547898764998145, 7.610183578437228;"{""coordinates"": [7.610183578437228, 47.547898764998145], ""type"": ""Point""}";19;Karl Barth-Platz;1;Karl Barth-Platz 9;4052;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.56289793536577, 7.598039440851865;"{""coordinates"": [7.598039440851865, 47.56289793536577], ""type"": ""Point""}";40;Clarastrasse;1;Clarastrasse 46;4058;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.59071727198547, 7.655572926823676;"{""coordinates"": [7.655572926823676, 47.59071727198547], ""type"": ""Point""}";65;Haselrain;1;Haselrain;4125;Riehen;http://www.riehen.ch/leben-und-wohnen/abfall-und-entsorgung/wertstoffsammelstellen
47.582280455277164, 7.6508038263880245;"{""coordinates"": [7.650803826388024, 47.582280455277164], ""type"": ""Point""}";63;Bahnhofstrasse;1;Bahnhofstrasse;4125;Riehen;http://www.riehen.ch/leben-und-wohnen/abfall-und-entsorgung/wertstoffsammelstellen
47.57049335317522, 7.6336483419759835;"{""coordinates"": [7.633648341975984, 47.57049335317522], ""type"": ""Point""}";59;Niederholzstrasse (Rauracherzentrum);1;Niederholzstrasse;4125;Riehen;http://www.riehen.ch/leben-und-wohnen/abfall-und-entsorgung/wertstoffsammelstellen
47.570202087609324, 7.635350914777026;"{""coordinates"": [7.635350914777026, 47.570202087609324], ""type"": ""Point""}";69;Bluttrainweg;1;Bluttrainweg;4125;Riehen;http://www.riehen.ch/leben-und-wohnen/abfall-und-entsorgung/wertstoffsammelstellen
47.59415224250782, 7.6542779803498275;"{""coordinates"": [7.654277980349828, 47.59415224250782], ""type"": ""Point""}";66;Hinter der Mühle;1;Hinter der Mühle;4125;Riehen;http://www.riehen.ch/leben-und-wohnen/abfall-und-entsorgung/wertstoffsammelstellen
47.53763529736118, 7.586026994594443;"{""coordinates"": [7.586026994594443, 47.53763529736118], ""type"": ""Point""}";27;Schäublinstrasse;1;Schäublinstrasse 140;4059;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.55125224264466, 7.574271130179807;"{""coordinates"": [7.574271130179807, 47.55125224264466], ""type"": ""Point""}";12;Bundesplatz;1;Bundesplatz;4054;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
