geo_point_2d;geo_shape;id_df;standort;strasse;hausnummer;plz;ort;kanton;verfuegbar;bemerkung
47.523423347365984, 7.594860883550398;"{""coordinates"": [7.594860883550398, 47.523423347365984], ""type"": ""Point""}";1;Amt für Sozialbeiträge - LIV (Leben in Vielfalt);Klosterfiechtenweg;22;4052;Basel;BS;Im Tageszentrum;08:00-17:00 (Mo-Fr)
47.582175161204084, 7.591408839480159;"{""coordinates"": [7.591408839480159, 47.582175161204084], ""type"": ""Point""}";4;Amt für Umwelt und Energie;Hochbergerstrasse;158;4057;Basel;BS;Gang 2. Stock,  an Wand rechts vor WC Herren;08:00-17:00 (Mo-Fr)
47.58395791509585, 7.595962691617901;"{""coordinates"": [7.595962691617901, 47.58395791509585], ""type"": ""Point""}";6;Amt für Umwelt und Energie;Neuhausstrasse;31;4057;Basel;BS;Trakt S Gang 1. Stock, an Wand über Kopierer;08:00-17:00 (Mo-Fr)
47.55488868895512, 7.5917675213944715;"{""coordinates"": [7.591767521394472, 47.55488868895512], ""type"": ""Point""}";7;Appellationsgericht Basel-Stadt;Bäumleingasse;1;4001;Basel;BS;3. Stock, Gang vor Gerichtsaal, neben Kanzlei;07:30 -11:30 & 13:30-17:00 (Mo-Fr)
47.55931378908853, 7.597654201100118;"{""coordinates"": [7.597654201100118, 47.55931378908853], ""type"": ""Point""}";9;Ausgleichskasse Basel-Stadt;Wettsteinplatz;1;4001;Basel;BS;EG, rechts vom Empfangsschalter, hinter Wasserspender, Schalteröffnungszeiten;09:00 - 12:00  & 13:30 - 16:30 (Mo-Fr)
47.55610789654784, 7.582921491638333;"{""coordinates"": [7.582921491638333, 47.55610789654784], ""type"": ""Point""}";11;Berufsfeuerwehr Basel;Kornhausgasse;18;4051;Basel;BS;Empfang, vor der Einsatzzentrale im EG;24-365
47.55610789654784, 7.582921491638333;"{""coordinates"": [7.582921491638333, 47.55610789654784], ""type"": ""Point""}";13;Berufsfeuerwehr Basel;Kornhausgasse;18;4051;Basel;BS;Fahrzeughalle 5, EG, Durchgang Vorhalle, links an der Wand;24/365
47.55610789654784, 7.582921491638333;"{""coordinates"": [7.582921491638333, 47.55610789654784], ""type"": ""Point""}";14;Berufsfeuerwehr Basel;Kornhausgasse;18;4051;Basel;BS;Fz. (Notarztzubringer) im Kofferraum, Fz. in Fahrzeughalle 1, Tor 10;24/365 wenn FZ am Standort
47.5605931407895, 7.590614729496178;"{""coordinates"": [7.590614729496178, 47.5605931407895], ""type"": ""Point""}";15;Berufsfeuerwehr Basel;unterhalb Mittlere Rheinbrücke;;4056;Basel;BS;Steiger Feuerlöschboot BS, unterh. Mittlere Rheinbrücke, Feuerlöschboot BS, im Steuerhaus;Wenn Besatzung vor Ort
47.55506049536497, 7.592103303203524;"{""coordinates"": [7.592103303203524, 47.55506049536497], ""type"": ""Point""}";16;Zivilgericht;Bäumleingasse;3;4001;Basel;BS;1. Stock linker Gang vor Lift;Mo-Fr 0730-1130 & 1330-1700 Uhr
47.536591252649785, 7.6051748774975785;"{""coordinates"": [7.605174877497578, 47.536591252649785], ""type"": ""Point""}";18;BVD Tiefbauamt, Betrieb;Leimgrubenweg;29;4053;Basel;BS;Zentralllager, nur während der Arbeitszeit;06:45 - 16:00, Areal sonst geschlossen
47.54353740540241, 7.619419519432038;"{""coordinates"": [7.619419519432038, 47.54353740540241], ""type"": ""Point""}";25;BVD Tiefbauamt, Betrieb;Lehenmattstrasse;361;4052;Basel;BS;Aufenthaltsraum;nur wenn jemand vor Ort, ansonsten geschlossenes Areal
47.57051230791239, 7.614773652454547;"{""coordinates"": [7.614773652454547, 47.57051230791239], ""type"": ""Point""}";27;Eglisee, Gartenbad/Kunsteisbahn Eglisee Sanität;Egliseestrasse;85;4058;Basel;BS;Betriebspersonal alarmieren. Gerät befindet sich im internen Rettungsrucksack.;Saisonal verfügbar wenn Betrieb geöffnet
47.5461883848506, 7.594942377339695;"{""coordinates"": [7.594942377339695, 47.5461883848506], ""type"": ""Point""}";33;Fachhochschule Nordwestschweiz;Peter Merian-Strasse;86;4052;Basel;BS;Haupteingang, rechte Türe, vor der Haupttreppe links. Verfügbarkeit ausserhalb des Semesters: 0700 - 1800 Uhr;Mo-Fr 0700 -2000
47.56351017756949, 7.558008989392626;"{""coordinates"": [7.558008989392626, 47.56351017756949], ""type"": ""Point""}";36;Gartenbad Bachgraben, Garderobengebäude Damen&Herren;Belforterstrasse;135;4055;Basel;BS;Betriebspersonal alarmieren. Gerät befindet sich im internen Rettungsrucksack.;Saisonal verfügbar wenn Betrieb geöffnet
47.55238510067604, 7.596358902298966;"{""coordinates"": [7.596358902298966, 47.55238510067604], ""type"": ""Point""}";38;Generalsekretariat, Gesundheitsdepartement;Malzgasse;30;4001;Basel;BS;Im EG, beimEmpfang melden;Mo-Fr 0700-1715 Uhr
