geo_point_2d;geo_shape;qt_id;name;strasse_nr;plz;ort;kanton;telefon;link
47.558830569856205, 7.571593218025973;"{""coordinates"": [7.571593218025973, 47.558830569856205], ""type"": ""Point""}";7;Kontaktstelle für Eltern und Kinder 4055;Stöberstrasse 36;4055;Basel;BS;+41 (0) 61 302 15 15;http://www.quartiertreffpunktebasel.ch
47.58093088801972, 7.591320514667613;"{""coordinates"": [7.591320514667613, 47.58093088801972], ""type"": ""Point""}";12;Quartierzentrum Kleinhüningen;Kleinhüningerstrasse 205;4057;Basel;BS;+41 (0) 61 534 48 84;http://www.quartiertreffpunktebasel.ch
47.555869145834336, 7.614233342976744;"{""coordinates"": [7.614233342976744, 47.555869145834336], ""type"": ""Point""}";1;Treffpunkt Breite, Breitezentrum;Zürcherstrasse 149;4052;Basel;BS;+41 (0) 61 312 91 88;http://www.quartiertreffpunktebasel.ch
47.56355921602669, 7.625513382911945;"{""coordinates"": [7.625513382911945, 47.56355921602669], ""type"": ""Point""}";4;Hirzbrunnen;Im Rheinacker 15;4058;Basel;BS;+41 (0) 61 601 50 30;http://www.quartiertreffpunktebasel.ch
47.563762184146285, 7.591138544700641;"{""coordinates"": [7.591138544700641, 47.563762184146285], ""type"": ""Point""}";6;Kasernentreff;Kasernenstrasse 23;4005;Basel;BS;+41 (0) 61 681 29 46;http://www.quartiertreffpunktebasel.ch
47.568890099978944, 7.589983751960908;"{""coordinates"": [7.589983751960908, 47.568890099978944], ""type"": ""Point""}";10;UNION;Klybeckstrasse 95;4057;Basel;BS;+41 (0) 61 683 23 43;http://www.quartiertreffpunktebasel.ch
47.57223112548287, 7.600133431944611;"{""coordinates"": [7.600133431944611, 47.57223112548287], ""type"": ""Point""}";15;Quartiertreffpunkt Rosental;Erlkönigweg 30;4058;Basel;BS;+41 (0) 61 683 36 70;http://www.quartiertreffpunktebasel.ch
47.558244489036376, 7.60115403387769;"{""coordinates"": [7.60115403387769, 47.558244489036376], ""type"": ""Point""}";2;Burg am Burgweg;Burgweg 7;4058;Basel;BS;+41 (0) 61 691 01 80;http://www.quartiertreffpunktebasel.ch
47.56867030778327, 7.618102720192191;"{""coordinates"": [7.618102720192191, 47.56867030778327], ""type"": ""Point""}";3;ELCH Eltern Centrum Hirzbrunnen;Allmendstrasse 36;4058;Basel;BS;+41 (0) 61 601 20 21;http://www.quartiertreffpunktebasel.ch
47.5414552552617, 7.592987503295551;"{""coordinates"": [7.592987503295551, 47.5414552552617], ""type"": ""Point""}";5;FAZ Familienzentrum Gundeli;Dornacherstrasse 192;4053;Basel;BS;+41 (0) 61 333 11 33;http://www.quartiertreffpunktebasel.ch
47.55019532395891, 7.580299591318173;"{""coordinates"": [7.580299591318173, 47.55019532395891], ""type"": ""Point""}";8;QuBa Quartierzentrum Bachletten;Bachlettenstrasse 12;4054;Basel;BS;+41 (0) 61 271 25 90;http://www.quartiertreffpunktebasel.ch
47.56600024834413, 7.5921814287518155;"{""coordinates"": [7.592181428751815, 47.56600024834413], ""type"": ""Point""}";9;Eltern-Kind-Zentrum MaKly;Claragraben 158;4057;Basel;BS;+41 (0) 61 691 70 08;http://www.quartiertreffpunktebasel.ch
47.568366371523915, 7.5771982987403135;"{""coordinates"": [7.577198298740313, 47.568366371523915], ""type"": ""Point""}";13;Quartiertreffpunkt LoLa;Lothringerstrasse 63;4056;Basel;BS;+41 (0) 61 321 48 28;http://www.quartiertreffpunktebasel.ch
47.532783092006476, 7.5945958944482825;"{""coordinates"": [7.594595894448283, 47.532783092006476], ""type"": ""Point""}";14;QuartierOASE Bruderholz;Bruderholzallee 169;4059;Basel;BS;+41 (0) 61 467 68 13;http://www.quartiertreffpunktebasel.ch
47.570026542725536, 7.635901763218358;"{""coordinates"": [7.635901763218358, 47.570026542725536], ""type"": ""Point""}";16;Freizeitzentrum Landauer;Bluttrainweg 12;4125;Riehen;BS;+41 (0)61 601 93 43;http://www.landauer.ch/
47.58215993471513, 7.6507278454982455;"{""coordinates"": [7.650727845498245, 47.58215993471513], ""type"": ""Point""}";17;2wei - Treffpunkt für Familien und Jugendliche;Bahnhofstrasse 61;4125;Riehen;BS;+41 (0)79 845 37 55;http://www.riehen.ch/familien-kinder-jugend
