geo_point_2d;geo_shape;objid;recnum
47.51545386637844, 7.619579793708818;"{""coordinates"": [[7.619382765252069, 47.5154569148231], [7.619613964499973, 47.51541065966667], [7.619747209882594, 47.515546781423886]], ""type"": ""LineString""}";229;4
47.51530127038529, 7.6196595395087625;"{""coordinates"": [[7.619462513492915, 47.515304317779915], [7.619693698731515, 47.51525806248242], [7.619826957211296, 47.51539418413433]], ""type"": ""LineString""}";233;6
47.59242215773447, 7.672348679968786;"{""coordinates"": [[7.672187558794547, 47.59235314979465], [7.672417185188614, 47.59240354774902], [7.672413461611883, 47.592566861744125]], ""type"": ""LineString""}";241;10
47.59232684696617, 7.672542090514505;"{""coordinates"": [[7.672380968184633, 47.592257842583194], [7.672610594349828, 47.592308240156164], [7.672606884630757, 47.5924715451429]], ""type"": ""LineString""}";243;11
47.59232684696617, 7.672542090514505;"{""coordinates"": [[7.672380968184633, 47.592257842583194], [7.672610594349828, 47.592308240156164], [7.672606884630757, 47.5924715451429]], ""type"": ""LineString""}";245;12
47.59221791549512, 7.672763120927938;"{""coordinates"": [[7.672601997089278, 47.59214890811246], [7.672831622992826, 47.59219930524954], [7.672827914001521, 47.59236261924348]], ""type"": ""LineString""}";249;14
47.57077598689869, 7.668440010240006;"{""coordinates"": [[7.668269517525472, 47.570718927784995], [7.668505567247855, 47.570752889509784], [7.668526961124415, 47.57091557942206]], ""type"": ""LineString""}";287;33
47.57077598689869, 7.668440010240006;"{""coordinates"": [[7.668269517525472, 47.570718927784995], [7.668505567247855, 47.570752889509784], [7.668526961124415, 47.57091557942206]], ""type"": ""LineString""}";289;34
47.56897610770525, 7.640972143522213;"{""coordinates"": [[7.641055036669829, 47.56883540976367], [7.641038352814608, 47.56899832381724], [7.640803315848722, 47.56903543562121]], ""type"": ""LineString""}";307;43
47.5450361973466, 7.6266264229548195;"{""coordinates"": [[7.626429649131294, 47.54507354218661], [7.626635103451492, 47.544988003404775], [7.626816280234929, 47.54509584281938]], ""type"": ""LineString""}";327;53
47.539058317485996, 7.624534523055574;"{""coordinates"": [[7.624359929331466, 47.53900721560548], [7.62459810508147, 47.53903290827731], [7.624631886172177, 47.53919465273538]], ""type"": ""LineString""}";333;56
47.538943847783266, 7.624703547053;"{""coordinates"": [[7.624528964142111, 47.53889275144535], [7.624767126147495, 47.53891843479795], [7.624800894398748, 47.53908017923453]], ""type"": ""LineString""}";335;57
47.537254668602245, 7.624895583846309;"{""coordinates"": [[7.624698968942477, 47.53725495118819], [7.624931691553618, 47.537212119102094], [7.62506057614687, 47.53735017446174]], ""type"": ""LineString""}";343;61
47.537254668602245, 7.624895583846309;"{""coordinates"": [[7.624698968942477, 47.53725495118819], [7.624931691553618, 47.537212119102094], [7.62506057614687, 47.53735017446174]], ""type"": ""LineString""}";345;62
47.51346265409618, 7.568517838579908;"{""coordinates"": [[7.568372627923202, 47.51337708909342], [7.568588526086361, 47.51344971693541], [7.568549516601731, 47.51361089452813]], ""type"": ""LineString""}";355;67
47.51346265409618, 7.568517838579908;"{""coordinates"": [[7.568372627923202, 47.51337708909342], [7.568588526086361, 47.51344971693541], [7.568549516601731, 47.51361089452813]], ""type"": ""LineString""}";357;68
47.51338755051769, 7.568729489877762;"{""coordinates"": [[7.568584277685469, 47.51330198841036], [7.568800175810885, 47.51337460686552], [7.56876116704554, 47.513535793527616]], ""type"": ""LineString""}";359;69
