geo_point_2d;geo_shape;objid;id;es_id;es_name
47.548462368770906, 7.573628707143376;"{""coordinates"": [[[7.572811870462691, 47.54870926528182], [7.572809646337435, 47.5487122897427], [7.572791851398438, 47.548730423638496], [7.572794117212011, 47.548744010597844], [7.572903677611631, 47.54886315071787], [7.572928222671207, 47.54887217917006], [7.57295720082427, 47.548869123897354], [7.574458426008324, 47.54820764813262], [7.574467314391645, 47.54819253725986], [7.57446950594271, 47.548181967041124], [7.574366642363751, 47.54806434951605], [7.574342097433068, 47.54805532136617], [7.574301957535721, 47.54805687002709], [7.572811870462691, 47.54870926528182]]], ""type"": ""Polygon""}";5;12;2;Leinenpflicht
47.554403410290924, 7.60021256433827;"{""coordinates"": [[[7.599507755728346, 47.554612062846495], [7.600008462697363, 47.55461294427262], [7.600488169786036, 47.55457148318607], [7.600488046110306, 47.55453068773728], [7.600432419997937, 47.55453076500568], [7.60042050599403, 47.55441779314875], [7.600631405060081, 47.55440651871403], [7.600626597053728, 47.55435003569291], [7.600733192242015, 47.5543389060606], [7.600742646496077, 47.55439852142915], [7.600802908044707, 47.554393724837055], [7.600805195882048, 47.55438587910742], [7.600819100912168, 47.55438428584489], [7.600819134298894, 47.55439527615372], [7.600860849420192, 47.55439050534975], [7.600867759531614, 47.55437794046016], [7.600844276152743, 47.55427911392292], [7.600844266616113, 47.55427597511935], [7.600475799022338, 47.554307875751576], [7.600319404681907, 47.55394873884114], [7.600173472494921, 47.55398189436651], [7.600215440046856, 47.5540650103217], [7.600294204811401, 47.5540460681487], [7.600333875201125, 47.55413389097555], [7.600185612816599, 47.55416547584227], [7.600208919227063, 47.55420624814019], [7.600251148263822, 47.55437566768253], [7.599486708463451, 47.554549324573735], [7.599507755728346, 47.554612062846495]]], ""type"": ""Polygon""}";9;14;1;Hundeverbot
47.57300349553794, 7.593816160086016;"{""coordinates"": [[[7.59500195117374, 47.57233448125592], [7.595001844749209, 47.57233444542397], [7.592519636568834, 47.57239722389083], [7.592526852262602, 47.57263209340134], [7.592795000316287, 47.57264888106694], [7.592812469199914, 47.57296841249758], [7.592823671684473, 47.573363768906454], [7.592599791071668, 47.5733612947522], [7.592600706958597, 47.57323647923965], [7.59254887415589, 47.5732222567259], [7.592542404231372, 47.573365993281634], [7.592558213976, 47.573668276978495], [7.592575948383975, 47.57368850732796], [7.592600795385786, 47.57370031019706], [7.594937250424553, 47.573594484016795], [7.59500195117374, 47.57233448125592]]], ""type"": ""Polygon""}";17;28;1;Hundeverbot
47.55417834685434, 7.61143203018427;"{""coordinates"": [[[7.610163432886297, 47.55407647166858], [7.612094152998707, 47.554745489737186], [7.612142006737989, 47.55472889693735], [7.612333668400622, 47.553893478834446], [7.611457357969496, 47.55384533500459], [7.611313945015961, 47.553841878297746], [7.610244276680092, 47.55389124325302], [7.610251194818137, 47.553960385986], [7.610163432886297, 47.55407647166858]]], ""type"": ""Polygon""}";19;35;1;Hundeverbot
47.55880396094303, 7.610075769169025;"{""coordinates"": [[[7.610930030094565, 47.55924653324651], [7.610930030036491, 47.55924651525912], [7.610927244528245, 47.558396099037545], [7.610866894173602, 47.55838274266864], [7.610866879921709, 47.55837832676649], [7.61061240522911, 47.558345596875114], [7.609803008877861, 47.55816357786784], [7.609368783615302, 47.55801851671339], [7.609285091339154, 47.558267370076145], [7.60908538725288, 47.55913813886126], [7.609330113369172, 47.55917532929282], [7.609340034362347, 47.559223880898394], [7.609548607823436, 47.559248568600225], [7.610930030094565, 47.55924653324651]], [[7.609369319141016, 47.558343729348074], [7.609376366343019, 47.558316342092745], [7.609388833099981, 47.5582677846362], [7.609441248028916, 47.558271925842035], [7.609545928420193, 47.55827916512874], [7.609663602564948, 47.558286277316334], [7.609766074131596, 47.558292476374504], [7.609813333927312, 47.55830074411643], [7.61043381043577, 47.558412144270925], [7.61034838717524, 47.55867499517451], [7.610222113437096, 47.55867957921045], [7.610081024548888, 47.55874599884074], [7.61004810061544, 47.55876258677452], [7.609989308885885, 47.55879608500061], [7.609911617256401, 47.55880277369494], [7.609604845965334, 47.55874953183327], [7.609506527454071, 47.558700345493115], [7.60947715462123, 47.558643395299], [7.609294371834336, 47.55863505626081], [7.609369319141016, 47.558343729348074]]], ""type"": ""Polygon""}";27;42;2;Leinenpflicht
47.55076105348631, 7.5938745674354555;"{""coordinates"": [[[7.594502582483654, 47.55130170222906], [7.594502595768278, 47.55130170221129], [7.594615389737052, 47.55138143378078], [7.594637362201703, 47.5513676439235], [7.594650705624386, 47.55134227266945], [7.5946519757652, 47.55124500353373], [7.594620356194134, 47.55117607277682], [7.594568900770395, 47.55112921224653], [7.593912677229367, 47.55068977240545], [7.593902477847443, 47.55066343429638], [7.593194982862506, 47.55018557435951], [7.593151185078427, 47.55019047108711], [7.593116363319967, 47.5502076863377], [7.593080309459947, 47.55023525502354], [7.593059900673673, 47.55026146289533], [7.593062463839832, 47.55030256096123], [7.594502582483654, 47.55130170222906]]], ""type"": ""Polygon""}";30;44;2;Leinenpflicht
47.549725689298576, 7.592390563552447;"{""coordinates"": [[[7.592881425333433, 47.55018355254334], [7.592881451980056, 47.550183579489335], [7.59292517853951, 47.550186210731646], [7.592959172648077, 47.55018138103655], [7.592979712260363, 47.550168258923364], [7.593057275258467, 47.55007018717378], [7.591762965350598, 47.54919430237947], [7.591722364040711, 47.54921575187856], [7.591772384028277, 47.549338010263135], [7.591786034522102, 47.54937773574074], [7.591867614228804, 47.549475480579446], [7.592777355867902, 47.55011008535857], [7.592881425333433, 47.55018355254334]]], ""type"": ""Polygon""}";32;48;2;Leinenpflicht
47.53885084447679, 7.601448356909431;"{""coordinates"": [[[7.601440951861863, 47.539096754598496], [7.601719601635589, 47.5390145212054], [7.601452226817745, 47.53860412175822], [7.601226983984578, 47.538668966918095], [7.601207267986296, 47.538680011840384], [7.601194516261013, 47.538692620952574], [7.601196912383656, 47.5387162263182], [7.601440951861863, 47.539096754598496]]], ""type"": ""Polygon""}";40;59;2;Leinenpflicht
47.56407117104369, 7.566736940880299;"{""coordinates"": [[[7.566450183380079, 47.56385740907436], [7.567087546428063, 47.56446563710053], [7.567114795298462, 47.56445260220812], [7.567243546720653, 47.564575925963716], [7.567216297796928, 47.56458895189215], [7.567540109091653, 47.56489592750498], [7.567739850586619, 47.56480038243935], [7.567014901504731, 47.56410612172996], [7.566975231449315, 47.56412587057189], [7.566775683419868, 47.56393574705898], [7.566887845834598, 47.56387473645834], [7.566148564096807, 47.56347889710126], [7.566025557991438, 47.56358414988348], [7.565771753117168, 47.563446283299655], [7.565605136909909, 47.563512757300344], [7.565745109737612, 47.56361891055578], [7.565733323390414, 47.56362445452166], [7.565868835437432, 47.56375435586701], [7.565916570262918, 47.563734166908496], [7.565887483654006, 47.56370639907935], [7.565983630741536, 47.56366039932032], [7.566050142572467, 47.5637244878291], [7.566086801628853, 47.56370695504134], [7.566153605951981, 47.56377103417672], [7.566190132128795, 47.56375350150165], [7.566261731267594, 47.56382219809828], [7.566365521375529, 47.56377174677455], [7.566464278896101, 47.5638506573501], [7.566450183380079, 47.56385740907436]]], ""type"": ""Polygon""}";48;69;2;Leinenpflicht
47.563919074948544, 7.5644024521016595;"{""coordinates"": [[[7.565624093595136, 47.563533071447665], [7.565637279649304, 47.56352942364176], [7.565605150154882, 47.56351273929852], [7.563657035366001, 47.564046532205445], [7.563602433877972, 47.56406856229683], [7.563578663220117, 47.564091881439566], [7.563600409340792, 47.564333752839815], [7.563649845899286, 47.564330399213674], [7.563662397480329, 47.56428825925907], [7.563679528942242, 47.56427263683072], [7.563763042796974, 47.56423826333303], [7.563936524835386, 47.56414544207274], [7.564024519477002, 47.56407274139699], [7.565405219987316, 47.56369080718683], [7.565327254130787, 47.563615164834864], [7.565624093595136, 47.563533071447665]]], ""type"": ""Polygon""}";50;71;2;Leinenpflicht
47.56267276430173, 7.6084446795544265;"{""coordinates"": [[[7.608799792189846, 47.56232637348389], [7.60823708790288, 47.563038930098], [7.608085526764306, 47.56298792245154], [7.607773000466646, 47.56337309190853], [7.607820832850324, 47.56338879742678], [7.608104600954168, 47.563031802034516], [7.608258846326033, 47.56308280574676], [7.60889692057094, 47.56227134287591], [7.608677701446801, 47.56219114232], [7.608849471469836, 47.56196317041981], [7.608799019804033, 47.561946632730034], [7.608607428872925, 47.562196740046694], [7.608796925844644, 47.56226504049743], [7.60875373619235, 47.56230082664037], [7.608799792189846, 47.56232637348389]]], ""type"": ""Polygon""}";56;76;1;Hundeverbot
47.56665746550452, 7.5811490779033734;"{""coordinates"": [[[7.581237695920551, 47.56672703317908], [7.581235697158859, 47.56667022242054], [7.581229879893966, 47.566616627080826], [7.581222984798706, 47.56656745795828], [7.581210797224118, 47.56650695424859], [7.581171141433274, 47.56655066713971], [7.581087166433221, 47.56663848530447], [7.580992526105441, 47.56673839496351], [7.581116539132077, 47.5667350507533], [7.581237695920551, 47.56672703317908]]], ""type"": ""Polygon""}";62;80;1;Hundeverbot
47.56679987064543, 7.581115620301267;"{""coordinates"": [[[7.581213381486249, 47.5668379102567], [7.581237919994382, 47.56681097110464], [7.581236941261919, 47.5667380333968], [7.581119409353759, 47.566744976291176], [7.580996448660132, 47.56674928154563], [7.580951680278054, 47.56679943109347], [7.581166037730404, 47.5668889893855], [7.581213381486249, 47.5668379102567]]], ""type"": ""Polygon""}";66;82;1;Hundeverbot
47.56613255413461, 7.58193737499019;"{""coordinates"": [[[7.581669442877005, 47.56640533939123], [7.581669442852925, 47.56640533039756], [7.581685389159557, 47.56640042725817], [7.581694877415953, 47.566395577007654], [7.581705488850337, 47.566388360034985], [7.581726243291638, 47.566372685530766], [7.581752745875198, 47.56634990793822], [7.581828208087806, 47.56627448406003], [7.581906574351351, 47.566196862099325], [7.581959395485466, 47.566147232901294], [7.582186608248006, 47.56594741015219], [7.582194996091014, 47.56592871091238], [7.582198710516981, 47.56591647490388], [7.582192588538679, 47.5659031088046], [7.58218734202404, 47.56589410357315], [7.582176244147376, 47.565883423721665], [7.58213702699558, 47.56591187410147], [7.582048717770334, 47.56597809544708], [7.58196965584772, 47.56604882918994], [7.58194336472772, 47.5660760404702], [7.581951601162445, 47.566065255892916], [7.581901344006931, 47.56611955866405], [7.581850921670097, 47.566171766082455], [7.581783818585963, 47.56624243104332], [7.581655222093944, 47.566384689307654], [7.58163400491885, 47.56641118378874], [7.58165418631286, 47.56640977401007], [7.581669442877005, 47.56640533939123]]], ""type"": ""Polygon""}";68;83;1;Hundeverbot
