geo_point_2d;geo_shape;id_entsorg;kategorie;name;beschreibu;adresse;plz;ortschaft;telefon;www_link;oeffnungsz;zustaendig
47.57002714796463, 7.578478252001085;"{""coordinates"": [7.578478252001085, 47.57002714796463], ""type"": ""Point""}";3002;Brauchbare Dinge;Art-Johann;Secondhand Shop / Kleiderbörse / Boutique;Elsässerstrasse 75;4056;Basel;+41 (0) 61 556 40 20;;;Amt für Umwelt und Energie Basel-Stadt
47.56667221278822, 7.601264834727376;"{""coordinates"": [7.601264834727376, 47.56667221278822], ""type"": ""Point""}";3006;Brauchbare Dinge;Fasnachtskischte Jap's;Secondhand Shop;Mattenstrasse 39;4058;Basel;+41 (0) 61 691 90 29;;;Amt für Umwelt und Energie Basel-Stadt
47.55595432211313, 7.588248951734107;"{""coordinates"": [7.588248951734107, 47.55595432211313], ""type"": ""Point""}";3007;Brauchbare Dinge;First und Secondhand Excllusiv Boutique;Secondhand Shop;Gerbergässlein 26;4051;Basel;+41 (0) 61 261 60 44;;;Amt für Umwelt und Energie Basel-Stadt
47.55876428068917, 7.579556740621112;"{""coordinates"": [7.579556740621112, 47.55876428068917], ""type"": ""Point""}";3009;Brauchbare Dinge;Freivogel Silvia;Secondhand Shop / Designer Second Hand;Missionsstrasse 15;4055;Basel;+41 (0) 61 261 29 72;;;Amt für Umwelt und Energie Basel-Stadt
47.553659442681806, 7.603580674082444;"{""coordinates"": [7.603580674082444, 47.553659442681806], ""type"": ""Point""}";3018;Brauchbare Dinge;Buchantiquariat Hupfer & Bieri;Antiquariat / Buchhandlung / Secondhand Shop;St. Alban-Berg 2a;4052;Basel;+41 (0) 61 272 33 21;;;Amt für Umwelt und Energie Basel-Stadt
47.562671453581224, 7.5935323929770515;"{""coordinates"": [7.593532392977052, 47.562671453581224], ""type"": ""Point""}";3020;Brauchbare Dinge;Glubos Brockenbude Verein Kreislauf;Brockenhaus / Entsorgung Recycling / Räumungen;Rappoltshof 12;4057;Basel;+41 (0) 61 681 81 04;;;Amt für Umwelt und Energie Basel-Stadt
47.57952479438797, 7.590644568524991;"{""coordinates"": [7.590644568524991, 47.57952479438797], ""type"": ""Point""}";3028;Brauchbare Dinge;ROTKREUZLADEN Kleinhüningen;Second-Hand-Shop;Kleinhüningerstrasse 167;4057;Basel;+41 (0) 61 632 02 25;;;Amt für Umwelt und Energie Basel-Stadt
47.554898320042724, 7.612739292962959;"{""coordinates"": [7.612739292962959, 47.554898320042724], ""type"": ""Point""}";3031;Brauchbare Dinge;Kleiderkiste Breit GmbH;Frauen und Kinderkleider;Homburgerstrasse 42;4052;Basel;+41 (0) 61 311 83 11;;;Amt für Umwelt und Energie Basel-Stadt
47.55810184501682, 7.586061160206367;"{""coordinates"": [7.586061160206367, 47.55810184501682], ""type"": ""Point""}";3033;Brauchbare Dinge;Rindlisbacher Gigi;Damenmode, Second-Hand-Shop;Andreasplatz 7;4051;Basel;+41 (0) 61 261 29 04;;;Amt für Umwelt und Energie Basel-Stadt
47.54475060142654, 7.591027536426817;"{""coordinates"": [7.591027536426817, 47.54475060142654], ""type"": ""Point""}";3001;Brauchbare Dinge;Anna-Bella;Secondhand Shop / Second-Hand Kleider;Solothurnerstrasse 31;4053;Basel;+41 (0) 61 312 19 82;;;Amt für Umwelt und Energie Basel-Stadt
47.559047278693306, 7.583453148962221;"{""coordinates"": [7.583453148962221, 47.559047278693306], ""type"": ""Point""}";3024;Brauchbare Dinge;Flohmarkt Petersplatz;Jeweils am Samstag von 07.30 - 16.00 Uhr / Anmeldung obligatorisch;Petersplatz;4051;Basel;+41 (0) 61 267 70 43;https://www.bs.ch/Portrait/maerkte/flohmarkt-petersplatz.html;;Amt für Umwelt und Energie Basel-Stadt
47.555569334081646, 7.586736486935677;"{""coordinates"": [7.586736486935677, 47.555569334081646], ""type"": ""Point""}";3038;Brauchbare Dinge;Schloehlein GmbH;Musikalienhandlung, Musikgeschäft;Leonhardsgraben 50;4051;Basel;+41 (0) 61 267 43 17;http://www.schlöhlein.ch;;Amt für Umwelt und Energie Basel-Stadt
47.56545313721709, 7.588747348389505;"{""coordinates"": [7.588747348389505, 47.56545313721709], ""type"": ""Point""}";3010;Brauchbare Dinge;Bockino;Brocki der Heilsarmee;Breisacherstrasse 45;4057;Basel;+41 (0) 61 683 80 47;https://basel1.heilsarmee.ch/brockino/;;Amt für Umwelt und Energie Basel-Stadt
47.563931019394694, 7.591827217435378;"{""coordinates"": [7.591827217435378, 47.563931019394694], ""type"": ""Point""}";3003;Brauchbare Dinge;Brocanthaus Bollig AG;Secondhand Shop / Brockenhaus;Klybeckstrasse 20;4057;Basel;+41 (0) 61 303 11 80;https://www.brocanthaus.com/;;Amt für Umwelt und Energie Basel-Stadt
47.5705140393526, 7.577575017606977;"{""coordinates"": [7.577575017606977, 47.5705140393526], ""type"": ""Point""}";3042;Brauchbare Dinge;Bückerschrank Voltaplatz;Bring- und Nimm-Möglichkeit für Bücher;Voltaplatz;4056;Basel;;;;Amt für Umwelt und Energie Basel-Stadt
47.558756949143365, 7.598392217946852;"{""coordinates"": [7.598392217946852, 47.558756949143365], ""type"": ""Point""}";3044;Brauchbare Dinge;Bücherschrank;Bring- und Nimm-Möglichkeit für Bücher;Theodorsgraben;4058;Basel;;;;Amt für Umwelt und Energie Basel-Stadt
47.54244895796968, 7.595500773719061;"{""coordinates"": [7.595500773719061, 47.54244895796968], ""type"": ""Point""}";3022;Brauchbare Dinge;WIZO;Second Hand Shop / Möbelladen;Güterstrasse 218;4053;Basel;+41 (0) 61 361 25 33;http://www.wizo.ch/index.php/de/sektionen/basel;;Amt für Umwelt und Energie Basel-Stadt
47.5452649127547, 7.589442568412837;"{""coordinates"": [7.589442568412837, 47.5452649127547], ""type"": ""Point""}";3047;Brauchbare Dinge;revendo;An- und Verkauf von Smartphones und Apple-Computern;Güterstrasse 133;4053;Basel;;https://revendo.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.573926538972664, 7.590673789758345;"{""coordinates"": [7.590673789758345, 47.573926538972664], ""type"": ""Point""}";3050;Brauchbare Dinge;Madame Frigo;Öffentlicher Kühlschrank zum Tauschen von geniessbaren Lebensmitteln;Klybeckplatz;4057;Basel;;https://www.madamefrigo.ch/de/;;Amt für Umwelt und Energie Basel-Stadt
47.54176240685933, 7.598387403814557;"{""coordinates"": [7.598387403814557, 47.54176240685933], ""type"": ""Point""}";3055;Brauchbare Dinge;Schmocki's Ohrwurm Oase;Secondhand Vinyl, CD, DVD, Blu-ray;Güterstrasse 165;4053;Basel;;http://www.ohrwurm-oase.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.566384145761134, 7.592323855463541;"{""coordinates"": [7.592323855463541, 47.566384145761134], ""type"": ""Point""}";4029;Brillen;VIU Eyewear;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Feldbergstrasse 70;4057;Basel;+41 (0) 61 508 51 67;;;Amt für Umwelt und Energie Basel-Stadt
47.53445233164613, 7.606724385473521;"{""coordinates"": [7.606724385473521, 47.53445233164613], ""type"": ""Point""}";4024;Brillen;Optiswiss AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Lyon-Strasse 26;4053;Basel;+41 (0) 61 337 15 15;;;Amt für Umwelt und Energie Basel-Stadt
47.53410296597362, 7.605681572676275;"{""coordinates"": [7.605681572676275, 47.53410296597362], ""type"": ""Point""}";4023;Brillen;Eyemetrics Optic Service AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Rotterdam-Strasse 21;4053;Basel;+41 (0) 61 338 95 55;;;Amt für Umwelt und Energie Basel-Stadt
47.5556980650804, 7.588786321247637;"{""coordinates"": [7.588786321247637, 47.5556980650804], ""type"": ""Point""}";4019;Brillen;Visilab Basel;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Gerbergasse 55;4001;Basel;+41 (0) 61 261 33 90;;;Amt für Umwelt und Energie Basel-Stadt
47.55813618631768, 7.587057946668044;"{""coordinates"": [7.587057946668044, 47.55813618631768], ""type"": ""Point""}";4017;Brillen;Ramstein Optik AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Sattelgasse 4;4051;Basel;+41 (0) 61 261 58 88;;;Amt für Umwelt und Energie Basel-Stadt
47.55174468726509, 7.587515783901264;"{""coordinates"": [7.587515783901264, 47.55174468726509], ""type"": ""Point""}";4016;Brillen;Pro-optik AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Steinenvorstadt 62;4051;Basel;+41 (0) 61 281 81 45;;;Amt für Umwelt und Energie Basel-Stadt
47.561091734578056, 7.574396831882636;"{""coordinates"": [7.574396831882636, 47.561091734578056], ""type"": ""Point""}";4013;Brillen;Optik Schneider AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Spalenring 15;4055;Basel;+41 (0) 61 381 91 91;;;Amt für Umwelt und Energie Basel-Stadt
47.56297897935231, 7.592211142082781;"{""coordinates"": [7.592211142082781, 47.56297897935231], ""type"": ""Point""}";4011;Brillen;Optiker Reiniger GmbH;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Untere Rebgasse 22;4058;Basel;+41 (0) 61 681 66 27;;;Amt für Umwelt und Energie Basel-Stadt
47.560862717736434, 7.590849721194495;"{""coordinates"": [7.590849721194495, 47.560862717736434], ""type"": ""Point""}";4009;Brillen;McOptik (Schweiz) AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Greifengasse 1;4058;Basel;+41 (0) 61 692 04 55;;;Amt für Umwelt und Energie Basel-Stadt
47.557389501767695, 7.588630286723601;"{""coordinates"": [7.588630286723601, 47.557389501767695], ""type"": ""Point""}";4008;Brillen;Kochoptik AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Freie Strasse 8;4001;Basel;+41 (0) 61 272 49 70;;;Amt für Umwelt und Energie Basel-Stadt
47.54699134002887, 7.565621639738159;"{""coordinates"": [7.565621639738159, 47.54699134002887], ""type"": ""Point""}";4006;Brillen;Frank Augenoptik GmbH;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Neubadstrasse 147;4054;Basel;+41 (0) 61 302 32 30;;;Amt für Umwelt und Energie Basel-Stadt
47.58013396551962, 7.595976953140185;"{""coordinates"": [7.595976953140185, 47.58013396551962], ""type"": ""Point""}";4005;Brillen;Fielmann AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Hochbergerstrasse 70;4057;Basel;+41 (0) 61 633 20 50;;;Amt für Umwelt und Energie Basel-Stadt
47.557633004086796, 7.588107491816633;"{""coordinates"": [7.588107491816633, 47.557633004086796], ""type"": ""Point""}";4004;Brillen;Fielmann AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Marktplatz 16;4001;Basel;+41 (0) 61 266 16 20;;;Amt für Umwelt und Energie Basel-Stadt
47.55249536286018, 7.589853388253119;"{""coordinates"": [7.589853388253119, 47.55249536286018], ""type"": ""Point""}";4003;Brillen;Beyeler Optik AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Theaterstrasse 9;4051;Basel;+41 (0) 61 272 15 15;;;Amt für Umwelt und Energie Basel-Stadt
47.55207865193302, 7.590084707063524;"{""coordinates"": [7.590084707063524, 47.55207865193302], ""type"": ""Point""}";4000;Brillen;Bader Brillen Optik AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Klosterberg 8;4051;Basel;+41 (0) 61 272 05 33;;;Amt für Umwelt und Energie Basel-Stadt
47.543621180555334, 7.592076508038567;"{""coordinates"": [7.592076508038567, 47.543621180555334], ""type"": ""Point""}";15003;Verkauf Chipkarte Bio Klappe Basel;DROPA Drogerie Apotheke Gundelitor;Verkauf und Aufladung von Chipkarten für die Bio-Klappen;Güterstrasse 180;4053;Basel;+41 (0) 61 365 90 80;https://dropa.ch/standorte/dropa-drogerie-apotheke-gundelitor;Gemäss Webseite;Amt für Umwelt und Energie Basel-Stadt
47.55881976843277, 7.595306907375795;"{""coordinates"": [7.595306907375795, 47.55881976843277], ""type"": ""Point""}";7004;Kleider und Textilien;CARITAS beider Basel;Secondhand Shop, Boutique, Brockenhaus;Lindenberg 20;4058;Basel;+41 (0) 61 691 55 55;;;Amt für Umwelt und Energie Basel-Stadt
47.55602483069222, 7.5895830495936245;"{""coordinates"": [7.589583049593625, 47.55602483069222], ""type"": ""Point""}";7008;Kleider und Textilien;Fizzen;Secondhand Shop;Pfluggässlein 1;4001;Basel;+41 (0) 61 281 02 03;;;Amt für Umwelt und Energie Basel-Stadt
