id_angebot;name;kategorie;beschreibu;strassenr;plz;ort;link;zustaendig;bemerkung;baselinfo;geo_point_2d;geo_shape
2;Wasgenring Schulhaus;Schulsportanlage;Fussball, Mehrzweckplatz, Spielwiese;Welschmattstrasse 30;4055;Basel;;ED;nicht STG;nein;47.56248736921214, 7.561629801317986;"{""coordinates"": [7.561629801317986, 47.56248736921214], ""type"": ""Point""}"
6;Pruntrutermatte;Spezialsportanlage;Finnenbahn;Hans Huber-Strasse 29;4053;Basel;https://www.jfs.bs.ch/fuer-sportlerinnen-und-sportler/sportanlagen/sportanlagen-sportzentren/sportplatz-pruntrutermatte.html;Sportamt BS;;nein;47.54467359819365, 7.5782165235555405;"{""coordinates"": [7.578216523555541, 47.54467359819365], ""type"": ""Point""}"
7;Im Rheinacker;Tischtennistisch;Tischtennistisch;Landauerstrasse 45;4058;Basel;;Privat;;nein;47.56353851232398, 7.625692695059065;"{""coordinates"": [7.625692695059065, 47.56353851232398], ""type"": ""Point""}"
55;Spielplatz Andreas Heusler-Strasse;Tischtennistisch;Tischtennistisch;Andreas Heusler-Strasse;4052;Basel;;Stadtgärtnerei;Adresse geändert;nein;47.546158312862836, 7.602255767335637;"{""coordinates"": [7.602255767335637, 47.546158312862836], ""type"": ""Point""}"
173;Bärenfelserstrasse;Tischtennistisch;Tischtennistisch;Bärenfelserstrasse;4057;Basel;;Stadtgärtnerei;i.O.;nein;47.568198943315565, 7.5876731108524655;"{""coordinates"": [7.587673110852466, 47.568198943315565], ""type"": ""Point""}"
11;Holbein;Sporthalle;2 1-fach Sporthallen;Kanonengasse 9;4051;Basel;;Sportamt BS;;nein;47.553700164532756, 7.587323243582451;"{""coordinates"": [7.587323243582451, 47.553700164532756], ""type"": ""Point""}"
12;Gymnasium Bäumlihof;Sporthalle;1 Doppel-Sporthalle, 6 1-fach Sporthallen;Zu den drei Linden 80;4058;Basel;;Sportamt BS;;nein;47.566054464035346, 7.625997584446528;"{""coordinates"": [7.625997584446528, 47.566054464035346], ""type"": ""Point""}"
18;Benkenanlage;Tischtennistisch;Tischtennistisch;Benkenstrasse / Aescherstrasse;4054;Basel;;Stadtgärtnerei;i.O.;nein;47.54840253502929, 7.573605307990129;"{""coordinates"": [7.573605307990129, 47.54840253502929], ""type"": ""Point""}"
21;Gymnasium Bäumlihof;Sportplatz;"""Fussball, Leichtathletik, Beachvolleyball, Mehrzweckplatz, Tischtennis, Judo""";Zu den drei Linden 80;4058;Basel;https://www.jfs.bs.ch/fuer-sportlerinnen-und-sportler/sportanlagen/sportanlagen-sportzentren/sportplatz-gymnasium-bauemlihof.html;Sportamt BS;Gleichzeitig auch Schulsportanlage.;ja;47.56785996475507, 7.627990608654829;"{""coordinates"": [7.627990608654829, 47.56785996475507], ""type"": ""Point""}"
95;Christoph-Merian-Park;Tischtennistisch;Tischtennistisch;Christoph-Merian-Park;4052;Basel;;Stadtgärtnerei;Adresse geändert;nein;47.549460987733646, 7.611904788381474;"{""coordinates"": [7.611904788381474, 47.549460987733646], ""type"": ""Point""}"
175;Christoph Merian-Park;Tischtennistisch;Tischtennistisch;St. Jakobs-Strasse 71;4052;Basel;;;Angebot löschen, doppelt;nein;47.547030806150865, 7.599538621304083;"{""coordinates"": [7.599538621304083, 47.547030806150865], ""type"": ""Point""}"
31;Wasgenring Schulhaus;Tischtennistisch;Tischtennistisch;Welschmattstrasse 30;4055;Basel;;ED;nicht STG;nein;47.56157006412537, 7.561920143915131;"{""coordinates"": [7.561920143915131, 47.56157006412537], ""type"": ""Point""}"
33;St. Johann/Pestalozzi;Schulsportanlage;Mehrzweckplatz, Basketball;Spitalstrasse 50;4056;Basel;;ED;nicht STG;nein;47.56512294321603, 7.581178985706658;"{""coordinates"": [7.581178985706658, 47.56512294321603], ""type"": ""Point""}"
39;Eishalle St. Jakob-Arena;Kunsteisbahn;Eishockey, Eislauf;Mittlere Allee 18;4052;Basel;https://www.jfs.bs.ch/fuer-sportlerinnen-und-sportler/sportanlagen/eishalle-st-jakob-arena.html;Sportamt BS;;ja;47.53831925556603, 7.618872326486276;"{""coordinates"": [7.618872326486276, 47.53831925556603], ""type"": ""Point""}"
44;Lange Erlen;Tischtennistisch;Tischtennistisch;;4058;Basel;;Erlenverein;nicht STG;nein;47.5737472366239, 7.605212124511427;"{""coordinates"": [7.605212124511427, 47.5737472366239], ""type"": ""Point""}"
46;Bläsischulhaus;Hallenbad;Schwimmen, Schulschwimmbad (8x16m);Müllheimerstrasse 94;4057;Basel;;Sportamt BS;;nein;47.567982741015165, 7.592514035917431;"{""coordinates"": [7.592514035917431, 47.567982741015165], ""type"": ""Point""}"
49;Robispielplatz Horburg;Tischtennistisch;Tischtennistisch;Wiesenschanzweg 49;4057;Basel;;Robi-Spielaktion;Robi Spielaktion ergänzt, nicht STG;nein;47.57335755815985, 7.5946727062948725;"{""coordinates"": [7.594672706294872, 47.57335755815985], ""type"": ""Point""}"
52;Rittergasse;Sporthalle;2 1-fach Sporthallen;Rittergasse 5;4051;Basel;;Sportamt BS;;nein;47.55590583188548, 7.593235067983813;"{""coordinates"": [7.593235067983813, 47.55590583188548], ""type"": ""Point""}"
54;Dreirosenschulhaus;Tischtennistisch;Tischtennistische;Breisacherstrasse 134;4057;Basel;;ED;nicht STG;nein;47.569975867738336, 7.58952954292945;"{""coordinates"": [7.58952954292945, 47.569975867738336], ""type"": ""Point""}"
