geo_point_2d;geo_shape;id_tempo30;regime;regimenr;name;umdatum;umjahr
47.5388628468298, 7.600278350561701;"{""coordinates"": [[[7.597333400787383, 47.540551071605776], [7.603247165266061, 47.53882261192983], [7.603973747676887, 47.537175915544296], [7.60396836495911, 47.5371575128785], [7.60395869498983, 47.53713993473502], [7.603945004814324, 47.537123639417565], [7.603927627714897, 47.5371090311726], [7.603907016446234, 47.53709649608926], [7.60388371656175, 47.537086366162356], [7.603858313178038, 47.53707888339258], [7.603831471013161, 47.53707426268689], [7.603803881012309, 47.53707261098968], [7.60377626048746, 47.537073972252344], [7.60374931321915, 47.53707830950161], [7.603723742765944, 47.537085513814844], [7.596485761044301, 47.53921303010245], [7.597333400787383, 47.540551071605776]]], ""type"": ""Polygon""}";2;Tempo 30-Zone;6I;Gilgenberg;1997-07-08 00:00:00;1997
47.540554843272574, 7.594585787572728;"{""coordinates"": [[[7.593252583533261, 47.541751374834845], [7.596984846053762, 47.540655640058084], [7.596143916861466, 47.53932080676553], [7.591999800245724, 47.54053539818247], [7.593252583533261, 47.541751374834845]]], ""type"": ""Polygon""}";4;Tempo 30-Zone;6G;Achilles Bischoff;1997-07-08 00:00:00;1997
47.541849406101406, 7.590676898936414;"{""coordinates"": [[[7.589680400691095, 47.54313105661491], [7.59297405643922, 47.54186717035445], [7.591682607448326, 47.54063539449051], [7.59042158590387, 47.54105110000937], [7.588453787078031, 47.54169977813755], [7.589680400691095, 47.54313105661491]]], ""type"": ""Polygon""}";7;Tempo 30-Zone;6E;Beinwil;1997-11-18 00:00:00;1997
47.56090397373231, 7.610815082581177;"{""coordinates"": [[[7.610622646048101, 47.56213336208386], [7.610712392894017, 47.562118048126585], [7.610809443819835, 47.562052097643424], [7.611331201254948, 47.561428662777416], [7.612232404506092, 47.560161788823656], [7.612239407417427, 47.560014982748626], [7.610689438591023, 47.559667993346324], [7.61013952429374, 47.5608128694936], [7.60996731725773, 47.560777687656206], [7.609364483190487, 47.56179097835983], [7.610622646048101, 47.56213336208386]]], ""type"": ""Polygon""}";16;Tempo 30-Zone;14C;Beuggen;2000-11-21 00:00:00;2000
47.5510815097346, 7.6199816605505335;"{""coordinates"": [[[7.616696202676308, 47.55420463861841], [7.616789340280135, 47.554107210767356], [7.616961597439837, 47.55401939292415], [7.617277562178524, 47.55391190093909], [7.617449505135534, 47.55372678845419], [7.617800741104531, 47.55341006418769], [7.617972931983481, 47.55330764805503], [7.618116304704464, 47.55318094799039], [7.618518154981776, 47.55295656324633], [7.619142571236464, 47.55263940341185], [7.619838858217727, 47.55231246003398], [7.620427576489895, 47.552014973108506], [7.620603247370966, 47.55191518273549], [7.620772031325106, 47.55181011453713], [7.620933436777589, 47.55169976031895], [7.621087226108761, 47.551584561177684], [7.621233121179316, 47.551464760410916], [7.621370631027971, 47.551340520706226], [7.621499623912001, 47.551212157081444], [7.62161978192812, 47.551079930883255], [7.621730827036058, 47.55094410339506], [7.621832587603815, 47.550804971706874], [7.621924825584711, 47.55066283301162], [7.622007369331211, 47.55051797540252], [7.622080020757412, 47.55037072298753], [7.622142648113122, 47.550221372786986], [7.622195119746313, 47.550070248799905], [7.622237290632792, 47.5499176480629], [7.622269082266803, 47.54976389448653], [7.622290442745124, 47.54960932093045], [7.622301306851631, 47.54945425127891], [7.622172915014839, 47.54748090619756], [7.621249484897652, 47.54748922079591], [7.621367283420724, 47.549269190533565], [7.621372520843015, 47.54940595949755], [7.62136779509738, 47.549542726107255], [7.621353144881488, 47.54967917551888], [7.621328582233129, 47.549814965946624], [7.62129418564364, 47.54994976449174], [7.621250020445826, 47.55008327424883], [7.621196204958961, 47.55021515325827], [7.621132884136818, 47.55034507750407], [7.621060176400082, 47.550472732003534], [7.620978279881244, 47.55059780164717], [7.620887352865771, 47.55071997138644], [7.620787660075175, 47.55083897097321], [7.620679466238443, 47.5509545301585], [7.620563009400528, 47.551066342759015], [7.620438554306277, 47.551174138523905], [7.620306392247416, 47.55127763816683], [7.620166841185492, 47.55137658934078], [7.620020259067127, 47.551470775611556], [7.619867030386501, 47.551559971510535], [7.619707499762105, 47.551643942638066], [7.619542025197346, 47.55172248155587], [7.619371071164768, 47.55179543462407], [7.619195022284202, 47.551862603359695], [7.6190143030986, 47.551923807207075], [7.61882933834076, 47.55197891957487], [7.617924462382219, 47.55227809082301], [7.617711554012469, 47.55234022357659], [7.61710204787755, 47.552362258799086], [7.616746846234951, 47.552369664953], [7.616778552482916, 47.55275418936391], [7.616779616738929, 47.553076955536], [7.616696202676308, 47.55420463861841]]], ""type"": ""Polygon""}";18;Tempo 30-Zone;4D;Nasenweg;1998-09-18 00:00:00;1998
47.5565896735406, 7.578533136011157;"{""coordinates"": [[[7.579390766775111, 47.55476527441679], [7.578429657685636, 47.555052296560234], [7.577459591247153, 47.55535757863309], [7.575878288961224, 47.55569399024729], [7.57550476071702, 47.55694995424989], [7.579145284629394, 47.55818892689056], [7.579649212430255, 47.55837567591503], [7.579863514327848, 47.558503163456756], [7.580630293889715, 47.558144578711286], [7.580679741555927, 47.5580979939325], [7.580720250562242, 47.55804759768974], [7.58075117200151, 47.557994182231205], [7.580772029792016, 47.55793857556776], [7.580782520675429, 47.55788164147232], [7.580782461045454, 47.55782427055067], [7.580771853304954, 47.557767353179045], [7.580750872553041, 47.557711770526595], [7.580719826699878, 47.55765838561066], [7.580679222847698, 47.5576080252286], [7.580728717005385, 47.55728437052514], [7.580740189195951, 47.5568670923928], [7.580790044779836, 47.556679683189614], [7.580890181791931, 47.556475187481176], [7.580965436194369, 47.556381425912534], [7.580965018479051, 47.55621962915525], [7.580813522205768, 47.55604098257715], [7.579390766775111, 47.55476527441679]]], ""type"": ""Polygon""}";23;Tempo 30-Zone;3C;Socin;2000-12-13 00:00:00;2000
47.55904293942764, 7.576480865898859;"{""coordinates"": [[[7.579626985442751, 47.55865307830014], [7.579459760632372, 47.55848140127074], [7.576663222608435, 47.5575394860039], [7.57569324923595, 47.55720851848757], [7.575441508747356, 47.55720029698433], [7.574481175852455, 47.560667267822815], [7.574269293679261, 47.56150203237383], [7.575161589151926, 47.56094749111951], [7.577537199553426, 47.55968439619639], [7.577750903043027, 47.5595819548045], [7.578567970552734, 47.55918075659525], [7.579626985442751, 47.55865307830014]]], ""type"": ""Polygon""}";24;Tempo 30-Zone;3B;Pilger;2000-12-13 00:00:00;2000
47.56225169558742, 7.577192733701072;"{""coordinates"": [[[7.573304186064175, 47.564923107577265], [7.57386212952268, 47.565239535197094], [7.574296367391558, 47.56519006031763], [7.57559850158143, 47.564796728005106], [7.576218552071301, 47.56460709451888], [7.578461051742777, 47.563932786680326], [7.57918443196047, 47.563722030983186], [7.57962923306079, 47.56341205650138], [7.580361046173618, 47.56248765012356], [7.580525925270589, 47.56227056621469], [7.580721791677782, 47.56203944108593], [7.580295248593009, 47.56119550402915], [7.57974065631582, 47.560123945206286], [7.579778240857004, 47.56009223283011], [7.580495570759246, 47.55955105553704], [7.580766659267281, 47.55853185333548], [7.580675127911792, 47.558431612868844], [7.577974837117651, 47.5597701868869], [7.576824160176857, 47.56038133923398], [7.575707598175374, 47.56096926308753], [7.574247512454064, 47.561846265153235], [7.574042737309775, 47.56208578079349], [7.573304186064175, 47.564923107577265]]], ""type"": ""Polygon""}";25;Tempo 30-Zone;3A;Klingelberg;1997-03-19 00:00:00;1997
47.56103379550096, 7.565873030137563;"{""coordinates"": [[[7.5636278647075, 47.56382320476921], [7.563768143020198, 47.56383979175607], [7.565623106186663, 47.563329931650195], [7.566199428918374, 47.56285491198239], [7.567039105718569, 47.562122874383256], [7.567961797540266, 47.56160772984552], [7.568293402139139, 47.56132064223922], [7.568433316265989, 47.56125502143528], [7.567782545972711, 47.56057644813311], [7.567527543860641, 47.560263074178934], [7.567392510283981, 47.56007604598744], [7.567511644953749, 47.55986850132167], [7.567217758150425, 47.558953174812494], [7.566726118247784, 47.55905453514604], [7.566455525366612, 47.55907771188344], [7.56633670566176, 47.55891187182492], [7.565682572484454, 47.55837147846401], [7.565342983125648, 47.55807378665443], [7.565105150782033, 47.55781266899768], [7.565004029376127, 47.55779606819789], [7.564895595166235, 47.55888572124899], [7.564748041218659, 47.560060379703714], [7.564728819815027, 47.56031029092373], [7.564699950862337, 47.560559771847046], [7.564661433822482, 47.560808651586356], [7.564613321327947, 47.56105676818841], [7.564555612843805, 47.56130395076131], [7.56448838753888, 47.56155001933117], [7.564411658191477, 47.561794811980995], [7.564325490731719, 47.56203816673427], [7.564229951051194, 47.56227990362507], [7.56412509182153, 47.56251986968072], [7.5636278647075, 47.56382320476921]]], ""type"": ""Polygon""}";34;Tempo 30-Zone;10G;Grien;2001-10-03 00:00:00;2001
47.567028408809165, 7.576985427369048;"{""coordinates"": [[[7.574264861399614, 47.56543621862977], [7.574073508739199, 47.56557158931019], [7.575829841350829, 47.566575059675856], [7.576911513031384, 47.56718143269895], [7.577136420253211, 47.567318616542735], [7.579845108964972, 47.568516224871864], [7.579991241888149, 47.568343189051674], [7.577301922103645, 47.56717189459352], [7.577088612205142, 47.56702810491824], [7.574264861399614, 47.56543621862977]]], ""type"": ""Polygon""}";120;Tempo 30-Zone;62;Mülhauserstrasse;2016-08-17 00:00:00;2016
47.53028821046563, 7.596408790773109;"{""coordinates"": [[[7.595600930517186, 47.52944831850219], [7.595655217461013, 47.52950305367723], [7.595726435774724, 47.529589478205956], [7.595797837301796, 47.529733588813244], [7.595897503803101, 47.529839203627546], [7.595968821185748, 47.52995447104805], [7.596089788459509, 47.5300600569121], [7.596182237409337, 47.530122420952594], [7.596260505154798, 47.530189615806144], [7.596381431875196, 47.53028558701964], [7.596431336251698, 47.53035762286821], [7.596467230610862, 47.53049696943766], [7.596467528854459, 47.530597915659264], [7.596489185103835, 47.530722864414116], [7.596517874942721, 47.530823763148604], [7.596581990965642, 47.53090539404434], [7.596674456173684, 47.53097256035266], [7.596788207807445, 47.53103489498286], [7.59695874413885, 47.53110196401116], [7.597193752445837, 47.53118207600176], [7.597295540967755, 47.53102559784454], [7.597015001252647, 47.53092883747158], [7.596887124021844, 47.53088575104022], [7.596837317227748, 47.53084255844276], [7.596787510514686, 47.53079936582327], [7.596737619453701, 47.530732132819246], [7.596737391845055, 47.53065522698437], [7.596722754179392, 47.53050142556694], [7.596701169534281, 47.53040531992794], [7.596686675223704, 47.530304401959846], [7.596665203533737, 47.53024194203573], [7.596579816551904, 47.53016995441147], [7.596451771087683, 47.530069181353895], [7.596366412159019, 47.53000200522472], [7.596245557900529, 47.52993486807914], [7.596181386886755, 47.529834017249904], [7.596095887865909, 47.52972357183064], [7.596003142355906, 47.52956026145647], [7.595946161538675, 47.529488243957395], [7.595839405389899, 47.52938744144397], [7.595782454082499, 47.52932983192484], [7.595600930517186, 47.52944831850219]]], ""type"": ""Polygon""}";121;Tempo 30-Zone;;Reservoirstrasse;2016-07-29 00:00:00;2016
47.545493971986495, 7.560169789747629;"{""coordinates"": [[[7.556136501331952, 47.54521703874957], [7.557856471133244, 47.54592726810787], [7.55981256650171, 47.54610015541274], [7.562578725379501, 47.54637123639015], [7.563294041780138, 47.54646957668294], [7.563871532132936, 47.54657390651089], [7.564537743239238, 47.54672248599435], [7.564605073005995, 47.54656832320856], [7.564486316214282, 47.545793845544615], [7.564424490846998, 47.545673134953155], [7.563408557458657, 47.54543268921556], [7.562860569697033, 47.54530002226654], [7.562337319783954, 47.54522562408849], [7.561561714777681, 47.545126513957165], [7.561290805264589, 47.54506849242565], [7.56085377211104, 47.54496139449094], [7.560125104328835, 47.54484540722599], [7.559185513751052, 47.544703686403025], [7.558600686042809, 47.54461347890891], [7.557718630880776, 47.54446521151695], [7.556894226639575, 47.54438821757518], [7.555868690339073, 47.544369807456974], [7.556136501331952, 47.54521703874957]]], ""type"": ""Polygon""}";36;Tempo 30-Zone;8C;Ziegelhöfen;2002-11-06 00:00:00;2002
47.54660920294901, 7.5673058156398225;"{""coordinates"": [[[7.565255677023709, 47.54687361371159], [7.565988461829321, 47.54708994351407], [7.56678931094214, 47.54737532895215], [7.567490771039584, 47.54766819353443], [7.567994066341417, 47.54708066780385], [7.568712076801289, 47.546236083616364], [7.56928684185687, 47.54556960588765], [7.568996558768371, 47.5456222473989], [7.567927662776933, 47.545839485256785], [7.567219619648426, 47.54600944054743], [7.566272834108026, 47.54633154859577], [7.565715385512526, 47.54657350473227], [7.565239191985591, 47.54681182647566], [7.565255677023709, 47.54687361371159]]], ""type"": ""Polygon""}";38;Tempo 30-Zone;8D;Holeeletten;2004-04-07 00:00:00;2004
