geo_point_2d;geo_shape;objid;recnum;art
47.552052967048304, 7.620815067614179;"{""coordinates"": [[[7.620889111237426, 47.55211371343004], [7.620840935879635, 47.55208132137954], [7.620986490018305, 47.55198170347192], [7.62092163069815, 47.55193815834593], [7.620774971216808, 47.55203698645235], [7.620722801628443, 47.55200198341797], [7.620668684704244, 47.55215159824575], [7.620889111237426, 47.55211371343004]]], ""type"": ""Polygon""}";45;23;Einbahn
47.54830775724715, 7.6225260590405854;"{""coordinates"": [[[7.622642137284533, 47.548313204386986], [7.622574261144605, 47.54831459777421], [7.622567734200132, 47.54817455711222], [7.622476387093075, 47.548176392247385], [7.622481346455009, 47.54831648035876], [7.622407864699045, 47.54831793646441], [7.622530975280875, 47.548447531114135], [7.622642137284533, 47.548313204386986]]], ""type"": ""Polygon""}";53;27;Einbahn
47.5452975575077, 7.605304779136015;"{""coordinates"": [[[7.605251973611014, 47.5453677754523], [7.605276666119186, 47.5453249117695], [7.605469537153043, 47.54537564831556], [7.605502777629834, 47.545318040536195], [7.605310448292657, 47.54526631395428], [7.605337215145373, 47.54521992172844], [7.605112917050825, 47.54524591980537], [7.605251973611014, 47.5453677754523]]], ""type"": ""Polygon""}";61;31;Einbahn
47.546936988062285, 7.600446675461982;"{""coordinates"": [[[7.600520472716315, 47.54699788661871], [7.600472420537754, 47.54696543192656], [7.600618411368177, 47.546866072705825], [7.600553720746754, 47.546822389978686], [7.600406638240914, 47.546920950190184], [7.600354619458899, 47.546885775845574], [7.600299865701675, 47.54703532827211], [7.600520472716315, 47.54699788661871]]], ""type"": ""Polygon""}";65;33;Einbahn
47.548357277289945, 7.599838432675157;"{""coordinates"": [[[7.599763127190949, 47.548417343421576], [7.599801749042557, 47.548379516187865], [7.59997216986628, 47.548458992000164], [7.600024115655531, 47.54840806031272], [7.599854569101214, 47.548327737951816], [7.599896369499456, 47.54828677645634], [7.5996692780956, 47.54827708055197], [7.599763127190949, 47.548417343421576]]], ""type"": ""Polygon""}";69;36;Einbahn
47.55080225356883, 7.59354298014323;"{""coordinates"": [[[7.593450774695173, 47.55085032295699], [7.593500208194326, 47.55081881510383], [7.593642276599334, 47.550920660335635], [7.593708828877499, 47.550878283152926], [7.593567927197935, 47.550775644999526], [7.593621471310987, 47.55074156840785], [7.593402407846787, 47.550699822772394], [7.593450774695173, 47.55085032295699]]], ""type"": ""Polygon""}";79;41;Einbahn
47.54877078741633, 7.589110561600283;"{""coordinates"": [[[7.58899554199735, 47.548782781061135], [7.589061332251663, 47.5487713460345], [7.589113229793457, 47.54890695888736], [7.589201751251797, 47.54889152818052], [7.589151353855165, 47.54875565260975], [7.589222534553127, 47.54874322121556], [7.589060324391411, 47.54863515483188], [7.58899554199735, 47.548782781061135]]], ""type"": ""Polygon""}";83;43;Einbahn
47.54657316645584, 7.596869587547766;"{""coordinates"": [[[7.596779816233157, 47.54662324509508], [7.596827686485864, 47.5465906676297], [7.59697465529726, 47.546689282496665], [7.597039043153795, 47.54664537732667], [7.596893161400704, 47.54654602357414], [7.596944995314417, 47.546510760531596], [7.59672407504147, 47.54647395224535], [7.596779816233157, 47.54662324509508]]], ""type"": ""Polygon""}";87;45;Einbahn
47.5542682331578, 7.5917769922871905;"{""coordinates"": [[[7.591876262125216, 47.554309322091314], [7.591815118494124, 47.55428937341186], [7.591904738121966, 47.55416303739517], [7.591822384616445, 47.55413617344252], [7.591731381741494, 47.55426201655782], [7.591665118534913, 47.5542403926946], [7.59168616383342, 47.55439379830062], [7.591876262125216, 47.554309322091314]]], ""type"": ""Polygon""}";89;46;Einbahn
47.55417293306994, 7.5805658099318824;"{""coordinates"": [[[7.580622526287078, 47.55424173038056], [7.580583725638155, 47.554203994922034], [7.580753406004488, 47.55412377990658], [7.580701232229611, 47.55407302885548], [7.580530632773951, 47.5541523095656], [7.580488635490001, 47.554111457136415], [7.580395572445947, 47.55425206153901], [7.580622526287078, 47.55424173038056]]], ""type"": ""Polygon""}";97;50;Einbahn
