geo_point_2d;geo_shape;id_ksrb;gemeinde;eigentum;strasse
47.57090638737231, 7.632097264029611;"{""coordinates"": [[7.629658779278756, 47.57295605575304], [7.630209922401843, 47.572542339762535], [7.631032666769114, 47.571905056993195], [7.631094040046034, 47.57185739689718], [7.63115525419032, 47.57180986294255], [7.631268873823325, 47.57171925239364], [7.631295973386806, 47.571697640670386], [7.631326650848333, 47.571673172017405], [7.631344527250945, 47.571658914402704], [7.631485775737728, 47.5715462773064], [7.631656446220735, 47.571404028975664], [7.631826449971961, 47.57126141274939], [7.631995800282807, 47.57111842860837], [7.632170819979082, 47.57096691775402], [7.632184067990006, 47.57095545574586], [7.632280513113597, 47.57087195076268], [7.633155421265205, 47.57011454472588], [7.63316929144706, 47.57010253294541], [7.633463770055292, 47.56984760866428], [7.633516515734135, 47.56979678690322], [7.633562512952984, 47.56974304446981], [7.633601417685013, 47.56968678666476], [7.633632925907297, 47.569628454695845], [7.633668748502008, 47.56955797398935], [7.633698393104773, 47.569473401494406], [7.63371061129771, 47.56943854840623], [7.633759019344247, 47.56928113141864], [7.633762657213907, 47.56926931658718], [7.633887103580892, 47.56886460704733], [7.633918516149899, 47.56877674880553], [7.633953731664222, 47.568689540712185], [7.633992697313089, 47.568603081783294], [7.634057126555826, 47.56849178444463]], ""type"": ""LineString""}";3;Riehen;Kanton Basel-Stadt;Rauracherstrasse
47.565293267808684, 7.636006631978926;"{""coordinates"": [[7.636705078553885, 47.56856314394217], [7.636683582694765, 47.56831785015154], [7.636674784401841, 47.56821740539651], [7.636669955174901, 47.56816230016519], [7.636639787659167, 47.56781833310635], [7.636563813282176, 47.56695147753572], [7.636543291624943, 47.56670694638719], [7.636500719074017, 47.56619953943587], [7.636474130173649, 47.565913368624074], [7.636446489682773, 47.56561588546811], [7.636413986733144, 47.56525769394516], [7.636396239452464, 47.56506219166459], [7.636375215106202, 47.5649647714443], [7.636361491827925, 47.56490117318714], [7.636351311059492, 47.56487194290556], [7.636337319313469, 47.564843438593414], [7.63631962379966, 47.56481590289777], [7.636298371424228, 47.56478953342934], [7.635744634843409, 47.564143572120514], [7.635646069073104, 47.56402955470081], [7.635519665074058, 47.56387218957424], [7.635467144677417, 47.56379834100717], [7.634500396387598, 47.56240756333471], [7.634454741034331, 47.56234254355581]], ""type"": ""LineString""}";5;Riehen;Kanton Basel-Stadt;Hörnliallee
47.5757020836796, 7.652971515173411;"{""coordinates"": [[7.647727275526812, 47.582718024115074], [7.64789871845932, 47.582571299173566], [7.648046698310416, 47.58244464507441], [7.648063381069092, 47.58242790483036], [7.648079331462807, 47.58241084212958], [7.648094522942537, 47.582393466013784], [7.648107831276922, 47.58237720849924], [7.648120487321672, 47.58236070932796], [7.648132491147932, 47.58234398648742], [7.648215806638587, 47.58222187340558], [7.648355569940795, 47.58201751041783], [7.648824151636646, 47.58132286668564], [7.648843674100047, 47.58128820580395], [7.648860256250219, 47.58125285771639], [7.648873858606403, 47.58121692142585], [7.648923354889186, 47.58110142524332], [7.648977939081895, 47.580951555024946], [7.648985960206877, 47.580929497042945], [7.649057978527855, 47.580775062458706], [7.649064866975918, 47.580762395910185], [7.649070620443432, 47.58075179096386], [7.649176261604607, 47.58058586454625], [7.649257495637294, 47.5804832346866], [7.650002004416632, 47.579537423401874], [7.650401532056796, 47.57902992149125], [7.650614781189875, 47.578651843788705], [7.650642355881689, 47.57855697320751], [7.650670114300095, 47.5784615356798], [7.65093489932329, 47.57778886531395], [7.651074756432044, 47.57743354853554], [7.65114399347662, 47.577257640598546], [7.651176070272832, 47.5771622849532], [7.651197761256888, 47.577065599211835], [7.65120894894545, 47.57696810522856], [7.651211916793269, 47.5769191112085], [7.651214560595373, 47.57687551399018], [7.65122852658823, 47.57664489039461], [7.651268964343813, 47.57597696334464], [7.651269921633272, 47.575960395222886], [7.65127103848322, 47.57594384479692], [7.651272301495074, 47.57592728511007], [7.651309219314355, 47.57567978330185], [7.651379496524001, 47.575435602109316], [7.651482569443097, 47.5751968110516], [7.651617541955529, 47.574965426268605], [7.652037912084217, 47.57433172509917], [7.652289468721473, 47.57395247612708], [7.652424796673225, 47.57374841248048], [7.652477889477149, 47.573668414941075], [7.652506809534367, 47.57362545287305], [7.652536381594012, 47.57358269645361], [7.652566618981136, 47.5735401546515], [7.652634047284301, 47.57344916736351], [7.652704509768221, 47.573359235707635], [7.65277795340581, 47.5732703957508], [7.652935638793462, 47.57308460147499], [7.653171576078884, 47.57280657625438], [7.653293827618604, 47.572647216300716], [7.653568567749482, 47.57262290285611], [7.654067199173784, 47.57259389348081], [7.654093458704347, 47.5725935031025], [7.654119718961855, 47.57259329259088], [7.6541459932365, 47.572593261921355], [7.654307124263442, 47.57259719942751], [7.654467539489457, 47.57260815312303], [7.654626587551801, 47.572626070257655], [7.654671260628386, 47.57263391977244], [7.655244956823648, 47.5727429991071], [7.655418726008635, 47.57277603314054], [7.655441627710757, 47.57278001065655], [7.655464621421545, 47.572783736173015], [7.655487693850712, 47.57278720971464], [7.655618940722977, 47.57280205647987], [7.655751643168936, 47.57280880605112], [7.655884697839378, 47.57280740652111], [7.656017028220834, 47.57279786889329], [7.656147544804731, 47.57278027614978], [7.656275171596459, 47.57275476521451], [7.656398872770988, 47.57272154489031], [7.656517626095114, 47.57268089590812], [7.656652835337954, 47.572631240259184], [7.656664579385511, 47.572626928259474], [7.657034296641375, 47.57249110456442], [7.657116575263804, 47.57246197239931], [7.657199615340615, 47.57243381905839], [7.657283363863262, 47.57240668061453], [7.657285938816988, 47.57240587533652], [7.657419758446981, 47.57236445962661], [7.657558408615872, 47.57233109302936], [7.657700813860167, 47.572306011388775], [7.658394577173749, 47.5721579169552], [7.65848745184826, 47.57213649838158], [7.658579522785388, 47.572113561316755], [7.658670750183116, 47.57208912382527], [7.658730024942467, 47.57207346160514], [7.658788871309201, 47.57205705368775], [7.658847249523349, 47.572039927130085], [7.658951678643872, 47.57200708229863], [7.659054436777478, 47.57197191116885], [7.659155391165172, 47.571934449971465], [7.659166364271945, 47.57193019313973], [7.659327538379854, 47.57186470118182], [7.659484146686022, 47.571794316095215], [7.659635844192239, 47.57171917345887], [7.660215404102218, 47.571416575213455]], ""type"": ""LineString""}";7;Riehen;Kanton Basel-Stadt;Bettingerstrasse
47.58656514665745, 7.661923234058939;"{""coordinates"": [[7.672026748547728, 47.585556475292464], [7.671902729228023, 47.58553684799504], [7.671781458941028, 47.58551051477776], [7.671663722811794, 47.58547765395011], [7.671449592071324, 47.58540708661979], [7.671336262701795, 47.585372615769565], [7.671219633921256, 47.5853435835761], [7.671100304596036, 47.58532015071914], [7.670057475948391, 47.58513630345293], [7.669677844171543, 47.58507692623438], [7.669248929249828, 47.585031450730646], [7.668874648269019, 47.58499174740656], [7.668827076579309, 47.5849866341941], [7.668779283774768, 47.58498264560731], [7.668731309770362, 47.58497979056079], [7.668622987585007, 47.58497755843318], [7.668514743578088, 47.58498111796916], [7.668407255542518, 47.58499044084949], [7.668288595369099, 47.585007655135485], [7.6681726506218, 47.58503189698791], [7.668060324372346, 47.585062975767244], [7.667798071255937, 47.58515128867517], [7.667545747337877, 47.58525198371314], [7.667304626476192, 47.58536455479618], [7.667130920863253, 47.585450659573034], [7.666960457456696, 47.585539680664], [7.666793329065957, 47.58563156393911], [7.666400213150356, 47.58585393783718], [7.666242928726811, 47.58593855214663], [7.666164054232241, 47.585980985585316], [7.665987829818971, 47.586066508958616], [7.66580155050726, 47.58614162803817], [7.665606530181947, 47.586205818581746], [7.665404189291406, 47.58625860111429], [7.665195962097526, 47.58629961305962], [7.664983349615093, 47.58632855467666], [7.664932268158651, 47.58633295298906], [7.663422331510499, 47.586462941753666], [7.663077055172395, 47.586496722805144], [7.662739650661485, 47.5865342560104], [7.661654920161664, 47.586666441987575], [7.661567666769154, 47.58668047737536], [7.661482387410726, 47.58669927555486], [7.661399653233487, 47.586722727513155], [7.661320021830815, 47.5867506613093], [7.661244024212827, 47.586782905054264], [7.660996742836098, 47.586899000205385], [7.660943005883906, 47.586923493654794], [7.660853027872042, 47.586956933019216], [7.660758623783869, 47.58698419312646], [7.660660683225905, 47.58700501145278], [7.660561252161947, 47.587019078303946], [7.660460264573003, 47.587026492732235], [7.660358690700892, 47.58702719892343], [7.658883716844721, 47.58697501231054], [7.658257334759524, 47.586955897290366], [7.657917772708462, 47.586945547291236], [7.657758189200639, 47.58694067649213], [7.657635386081779, 47.58693828147703], [7.657458766046453, 47.586934836336695], [7.657243182316775, 47.58694108732517], [7.657029029030548, 47.586959035971404], [7.656817714720871, 47.5869885717186], [7.656610581093102, 47.58702949420864], [7.65647918653903, 47.58706198244938], [7.656350469282308, 47.58709905229536], [7.656224787891218, 47.58714062214212], [7.655849916580014, 47.58727360995695], [7.65571478193887, 47.5873215553993], [7.654892884568358, 47.587613148564586], [7.65481300561197, 47.587640214940684], [7.654721683043644, 47.58767116078203], [7.654611381134428, 47.58771301509115], [7.654051517165042, 47.58791161605338], [7.653914188240285, 47.58796345768952], [7.653914161689046, 47.587963466732226], [7.653759616548621, 47.588021806456446], [7.653117782504859, 47.5883046629275], [7.653085721164487, 47.58831879705675], [7.652704115366186, 47.58848697016112], [7.652667002008859, 47.588504396144735], [7.652139661912473, 47.588728433958586], [7.651910000094269, 47.58883636499683]], ""type"": ""LineString""}";1;Riehen;Kanton Basel-Stadt;Inzlingerstrasse
47.591409433328565, 7.64728004044864;"{""coordinates"": [[7.642550219317377, 47.59213619960761], [7.642550259167476, 47.5921361905442], [7.642858065718893, 47.59208825464921], [7.64296254054403, 47.592071801882604], [7.643143203154168, 47.59204358646635], [7.643222560038778, 47.592033095388494], [7.643302781716046, 47.592026236163555], [7.643383496085705, 47.59202304541858], [7.643492919659282, 47.59202475060814], [7.64350543090482, 47.59202494444245], [7.643512239334222, 47.592025319189055], [7.643624712877941, 47.59203534699106], [7.643735325776164, 47.59205243796285], [7.643843093665613, 47.592076440952724], [7.643947071785276, 47.59210713279367], [7.644046355148049, 47.59214426327051], [7.644935336658593, 47.59251581035556], [7.645071301014513, 47.59256285788396], [7.645072951260111, 47.592563286652364], [7.645132802597249, 47.59257625725973], [7.645194076046053, 47.59258567282909], [7.645256319322514, 47.592591471205345], [7.645319080246315, 47.59259361721512], [7.645381880046729, 47.592592075733194], [7.645444253492156, 47.59258687456672], [7.645505722091379, 47.59257805054096], [7.645565834048674, 47.59256566741573], [7.645624137639366, 47.59254980693876], [7.645648782402692, 47.59254187570909], [7.645672972684495, 47.59253331572809], [7.645696668669226, 47.59252414505414], [7.645706902774794, 47.592519935821265], [7.645717043359798, 47.59251560983662], [7.645727077129269, 47.59251116712388], [7.646270353432647, 47.59223870878343], [7.646296049985825, 47.59222439905361], [7.646371773208538, 47.59218224571981], [7.647462817906592, 47.591634973918296], [7.647618234121627, 47.591557008031764], [7.648469346551788, 47.591130069178874], [7.648776988230026, 47.590975741081884], [7.648789898385753, 47.590969269340064], [7.649420394976387, 47.59065300140936], [7.649755390051669, 47.59048495081729], [7.650252504828967, 47.59023549101834], [7.650348618168045, 47.59018725425155], [7.650348737566984, 47.59018719107893], [7.650430919460707, 47.5901459676365], [7.65043825667623, 47.590142293875765], [7.650670817351455, 47.590025681678256], [7.651327695128945, 47.58983621948281], [7.651553452257014, 47.58977111552127], [7.651621985309063, 47.589751348037964], [7.651923750620677, 47.58966432165858]], ""type"": ""LineString""}";2;Riehen;Kanton Basel-Stadt;Weilstrasse
47.568653574398546, 7.635378875404305;"{""coordinates"": [[7.634057126555826, 47.56849178444463], [7.634243091856162, 47.568538617123075], [7.634374449465073, 47.56857003618569], [7.634507258209632, 47.568598511715436], [7.634641384982206, 47.56862398996928], [7.634883959566336, 47.56865916937482], [7.635129313252336, 47.568683901887916], [7.635376501984211, 47.5686980811622], [7.635528064352261, 47.56870188106818], [7.635679731784561, 47.56870174135441], [7.635831291623859, 47.56869766238074], [7.63621955328172, 47.56868209243573], [7.636530045447646, 47.5686696213517], [7.636713502321838, 47.568659326302566]], ""type"": ""LineString""}";4;Riehen;Kanton Basel-Stadt;Kohlistieg
47.57056292797665, 7.665924681031564;"{""coordinates"": [[7.660215404102218, 47.571416575213455], [7.660639354993656, 47.571195232390146], [7.660640588226888, 47.571194582490186], [7.66074966071062, 47.57113497088586], [7.660857679436444, 47.57107448880021], [7.660964657767241, 47.57101315419802], [7.661003065412598, 47.570991001247315], [7.661344454056565, 47.570785390666714], [7.661346228832357, 47.570783948276166], [7.661372770645576, 47.57076229458004], [7.661467936607442, 47.57070492136157], [7.661665978606358, 47.570590834433546], [7.661698728462998, 47.57057284718677], [7.661815657327272, 47.57050802113388], [7.661939615836761, 47.57044948605885], [7.662069874491674, 47.57039757610774], [7.662205663859586, 47.570352607518195], [7.662233615797382, 47.57034409971405], [7.66226178163939, 47.57033589727804], [7.662290121517899, 47.570328000286715], [7.662290227719568, 47.57032797310143], [7.662452808149295, 47.57028930227369], [7.662619842406198, 47.57026061465406], [7.662789975934613, 47.57024211968884], [7.662961880539052, 47.57023397281879], [7.66316630017199, 47.57022798439227], [7.663254876740991, 47.57022540309592], [7.663343440012039, 47.57022282175749], [7.663885356529585, 47.57020698813058], [7.663943793680986, 47.570207810318365], [7.66400192634528, 47.57021205067646], [7.664059289254672, 47.57021967413211], [7.664115470221954, 47.57023062752305], [7.664155567226688, 47.57024069470793], [7.664194648162858, 47.57025246366018], [7.664232553332908, 47.57026588072825], [7.664273277123884, 47.57028272791457], [7.664312148506483, 47.5703014853465], [7.664348967723434, 47.570322054482595], [7.664453478717493, 47.570401059273976], [7.664548974546325, 47.57048510895982], [7.664634921671838, 47.570573745919276], [7.664715057970783, 47.57064901146549], [7.664900789401171, 47.5708234701026], [7.664961771613614, 47.57087264600024], [7.665029508393739, 47.57091634953977], [7.665099418000829, 47.570958456923194], [7.665171420505377, 47.57099892333378], [7.665283631484312, 47.57105669621024], [7.66540009169932, 47.57111047648212], [7.665520481574569, 47.57116012086066], [7.665688616558011, 47.57122418778451], [7.665862435063228, 47.57128087751626], [7.666041245016394, 47.5713299665408], [7.666049945751525, 47.571332135003885], [7.666058672951431, 47.57133427643344], [7.666067400075256, 47.57133639987508], [7.666083324253111, 47.57134023603725], [7.666278241320365, 47.571382997608616], [7.666477355251321, 47.57141573164243], [7.666679535551558, 47.57143826045918], [7.666772279238701, 47.57144628987803], [7.66686570376562, 47.571448822731746], [7.666959091308587, 47.571445824452574], [7.667051737564601, 47.57143731441085], [7.667142938463035, 47.57142336594087], [7.667168634812681, 47.571418863579204], [7.667194398339195, 47.57141453196025], [7.667220202463529, 47.571410371136245], [7.66724556586491, 47.571405707524924], [7.667270768126705, 47.57140065749531], [7.667295782707743, 47.57139523009333], [7.667361257928999, 47.571378975661816], [7.667425166908632, 47.57136008911704], [7.667487297391291, 47.571338660816046], [7.667567736332262, 47.57130685368938], [7.667644770634028, 47.571271401763], [7.667718042203419, 47.57123247662922], [7.667960671654547, 47.571093396543226], [7.668055114219254, 47.571039284050194], [7.668066075969863, 47.57103259809329], [7.668137324221557, 47.57098688642953], [7.668208492342115, 47.570941111923105], [7.668279580409025, 47.57089529256146], [7.668472558456615, 47.57076579774927], [7.668578841476584, 47.570696417087255], [7.66871086585047, 47.57061159717806], [7.668780280906065, 47.57056632043345], [7.66889106787448, 47.570490697925806], [7.668988319625443, 47.570422863685785], [7.669148438602371, 47.570313929451174], [7.66918747682722, 47.57029099007127], [7.669229089320955, 47.57027023104704], [7.669273024172203, 47.570251787781], [7.669299879902097, 47.57024205729772], [7.669327390538098, 47.570233188905824], [7.669355476462066, 47.57022520974384], [7.669434410577979, 47.57020253290532], [7.669513103820676, 47.57017948774856], [7.669591556149841, 47.57015606528038], [7.669693715158985, 47.57011695560623], [7.669825431938757, 47.57005080596185], [7.669906431484048, 47.56999890412041], [7.67000339648302, 47.56993286832456], [7.670033222290993, 47.569912474211606], [7.670063114639486, 47.56989210693953], [7.670093033699806, 47.56987177558125], [7.670154017323875, 47.56982867326467], [7.670215867189449, 47.56978615378199], [7.670278569968172, 47.56974420816463], [7.670331791783557, 47.56970403517163], [7.670386012828999, 47.56966446274153], [7.670441193275686, 47.569625499946035], [7.670495831976243, 47.56958421782496], [7.670550803760436, 47.569543150862465], [7.670606135167312, 47.56950229001132], [7.670647828424332, 47.56946982948483], [7.670689268470799, 47.569437216554704], [7.670730468674318, 47.56940446918215], [7.670801621745197, 47.56934709118471], [7.670872015340933, 47.5692892919537], [7.670941636173254, 47.56923107151699], [7.671006033276116, 47.56917568549925], [7.671070177124655, 47.569120156050886], [7.6711340545086, 47.56906450118618], [7.671258073210658, 47.568937648681754], [7.671300086422995, 47.56889344147754], [7.671329949873009, 47.568863657504686], [7.671361051797284, 47.56883447362496], [7.67139339223413, 47.568805898830995]], ""type"": ""LineString""}";8;Bettingen;Kanton Basel-Stadt;Hauptstrasse
47.57021397261559, 7.676375331497715;"{""coordinates"": [[7.67139339223413, 47.568805898830995], [7.671456089435292, 47.56875707237434], [7.671524356871913, 47.56871179624259], [7.671597770555651, 47.56867035907428], [7.671655992074371, 47.568643504130065], [7.671717538373809, 47.56862027595614], [7.671781891941865, 47.56860084646534], [7.67184856184715, 47.56858538751794], [7.671916990401145, 47.56857399915946], [7.671941216236545, 47.568570946668835], [7.671965727359809, 47.56856931460837], [7.671990364305858, 47.568569103297826], [7.672014941071198, 47.56857032210405], [7.672039271573539, 47.56857296240673], [7.672063169691102, 47.56857700659214], [7.672087566793085, 47.56858271360906], [7.672111119794133, 47.56858987929753], [7.672133615836539, 47.56859845012308], [7.672154881850143, 47.56860835448405], [7.672174744685514, 47.56861950279148], [7.672193057849476, 47.56863182339046], [7.672366684606373, 47.56877237022012], [7.672637109560791, 47.56900655354528], [7.673299003571478, 47.56958616921561], [7.673573846205786, 47.56980769622572], [7.673713057304657, 47.569923316967], [7.674044127529633, 47.57021022141741], [7.674406583261413, 47.57052236060076], [7.674469463503677, 47.570572085278464], [7.674538360498908, 47.57061801136592], [7.674612794354024, 47.57065980705876], [7.674692205552844, 47.57069716769581], [7.674776021443269, 47.57072982461813], [7.674863629658813, 47.57075754522344], [7.674954417947689, 47.57078012389184], [7.675047707805899, 47.57079740010808], [7.675142820885532, 47.57080924933352], [7.675239092285203, 47.57081558297907], [7.675335804143577, 47.570816357534106], [7.67543226529745, 47.57081155641708], [7.675527758284741, 47.57080122605832], [7.675875401018346, 47.57076247411137], [7.676312951795625, 47.57070687208483], [7.676368005869001, 47.5706998793829], [7.676711540043653, 47.570660944452136], [7.67713515517887, 47.57061576457106], [7.677159289949176, 47.570613007972], [7.677182813725516, 47.570610324570715], [7.677217375494499, 47.57060638638501], [7.677218690503204, 47.57060623978818], [7.677993550489275, 47.570517417741684], [7.678763532031139, 47.57042005654715], [7.679074448779121, 47.57038079520504], [7.679202034806871, 47.57036466646706], [7.679331181747284, 47.57035577429877], [7.679460973093065, 47.57035421053009], [7.679590505180556, 47.570359968037394], [7.6797188609749, 47.57037302174128], [7.679845176271054, 47.57039327450718], [7.679968546747708, 47.570420575324896], [7.680088121154152, 47.57045475509041], [7.680203047906937, 47.57049557275373], [7.681384690080448, 47.571041827975456], [7.681561532375949, 47.57112271694139], [7.681609153257623, 47.5711498054615], [7.681653992857447, 47.571178977321296], [7.681695864547506, 47.57121010700177]], ""type"": ""LineString""}";9;Bettingen;Kanton Basel-Stadt;Chrischonarain
47.5714301134188, 7.68567119407088;"{""coordinates"": [[7.681695864547506, 47.57121010700177], [7.681782755068384, 47.57121937777269], [7.68183264232336, 47.57122469667625], [7.682839311919617, 47.57133215772574], [7.683350880814074, 47.57138579119982], [7.683401146448133, 47.57138662076914], [7.683676677024665, 47.57139114899605], [7.683739755365806, 47.57138361424964], [7.683847675250577, 47.571370732603555], [7.684040137791905, 47.57134776142242], [7.684551955025673, 47.571345502133866], [7.684908630076691, 47.57139546294453], [7.685002051098929, 47.57140854879504], [7.685221471263081, 47.571444364410745], [7.685260292516148, 47.57145050574204], [7.685942984718258, 47.5715586264152], [7.685979704826567, 47.57156443920621], [7.686723270389769, 47.57149917089642], [7.687799833270208, 47.57152144914135], [7.688232397145902, 47.57152032368705], [7.688267466253934, 47.57151976275328], [7.688282721843649, 47.571519532143256], [7.688939600453215, 47.571509180402074], [7.689560018647278, 47.57137901738759], [7.689643794568036, 47.57137563482799]], ""type"": ""LineString""}";10;Bettingen;Kanton Basel-Stadt;Hohe Strasse
47.57641519472209, 7.635054482614748;"{""coordinates"": [[7.647727275526812, 47.582718024115074], [7.647658477830024, 47.582664986121536], [7.647582639930495, 47.58261653849899], [7.647500441363746, 47.582573093723276], [7.647412601463675, 47.5825350462121], [7.647319865894329, 47.582502727381765], [7.647216859753653, 47.58246814248988], [7.647111408585744, 47.582437123376536], [7.647003751988433, 47.58240975954291], [7.646954353261719, 47.58239857889415], [7.646904585391702, 47.58238817233998], [7.646854474961216, 47.582378539832405], [7.646524347181873, 47.58232513190339], [7.646359101766063, 47.58229612553183], [7.646196187841122, 47.58226161064427], [7.646035991246461, 47.58222166750589], [7.645933914402588, 47.58219325846493], [7.645843068639881, 47.58216797712617], [7.645427170740094, 47.582050387019144], [7.644900925442933, 47.5819029251662], [7.644760179360352, 47.58186686703526], [7.64469323921876, 47.581849717705246], [7.644526206178371, 47.58181495593684], [7.644242175065798, 47.58175973318297], [7.644060013345245, 47.58172429595567], [7.643622861232219, 47.581639365893395], [7.643505982713946, 47.58161187114745], [7.643393449252345, 47.58157702980905], [7.643285834521492, 47.58153538050218], [7.643184243389065, 47.58148733500759], [7.642732293479009, 47.58124440884574], [7.642655693400638, 47.581203487021085], [7.642547859458204, 47.581145882642566], [7.64221150796164, 47.58096326129125], [7.642095488080048, 47.580895480976196], [7.641988112748189, 47.58082188452755], [7.641889595151596, 47.580742606501694], [7.641800894600388, 47.580658247822456], [7.641745915588528, 47.58060162967718], [7.641701318594727, 47.58055569586274], [7.641570036234271, 47.580420327224374], [7.641485632243381, 47.58033305585033], [7.641463707298578, 47.58031039402741], [7.641435936100181, 47.580281320903836], [7.641336380758683, 47.580155870696714], [7.64128028236071, 47.58005278397183], [7.641267866566373, 47.580021012955214], [7.641245839592999, 47.57994348087644], [7.64123428722234, 47.57987308952569], [7.641229901663334, 47.57972991789842], [7.641235845308348, 47.579447263400446], [7.641243827071959, 47.579368608829284], [7.641241865928952, 47.579289773699415], [7.641229990694733, 47.57921133355538], [7.641217594480797, 47.579167169206926], [7.641208243509574, 47.579133872909686], [7.641198372615442, 47.57910716088561], [7.641187319533768, 47.5790806487782], [7.641175097728645, 47.579054381532096], [7.641155724425801, 47.5790174602277], [7.641134067225805, 47.578981127481285], [7.641110152954864, 47.57894544620067], [7.641032175343889, 47.578862579171705], [7.640976760056374, 47.57881637606334], [7.640916146274961, 47.5787732577978], [7.640850720478277, 47.57873349350603], [7.640780869072439, 47.57869733433199], [7.640707044780276, 47.57866499533015], [7.64051053793397, 47.57857956357317], [7.640019392377244, 47.57836576216034], [7.639886051494646, 47.57830218261087], [7.639761944600185, 47.57823052861992], [7.639649158791736, 47.5781508865495], [7.639546399317502, 47.57806532721235], [7.639382991682537, 47.577916260096906], [7.639250503297686, 47.57779969658177], [7.639112385904648, 47.57768470750483], [7.639054783951985, 47.577642968092405], [7.63899205098399, 47.57759751409864], [7.638907474828677, 47.57753992020806], [7.638791610991086, 47.577461020064284], [7.638624620095499, 47.57735837439333], [7.638500253651018, 47.5772873490363], [7.638432393653463, 47.577249647095265], [7.638369176275196, 47.577216532919344], [7.638316692686295, 47.57718903034207], [7.638284584666807, 47.577172213266266], [7.638163371944645, 47.57711259511585], [7.638158871616876, 47.577110480320364], [7.638005900660197, 47.57703860408068], [7.637504536891348, 47.576804717544235], [7.637255619956961, 47.57668658777758], [7.637207780614207, 47.576663879396804], [7.637013235530284, 47.57657708027604], [7.636892474074092, 47.576527263131766], [7.636735845230689, 47.57646443008496], [7.63657310521644, 47.57640221878628], [7.636441985557187, 47.57635454129], [7.636333331579733, 47.57631503672946], [7.636166784150794, 47.576254486161126], [7.635995592337339, 47.576192252413705], [7.635700718794868, 47.5760841172197], [7.635650943364189, 47.5760658633432], [7.635614051016857, 47.576052336313325], [7.635345166227594, 47.575952367470194], [7.635301179566174, 47.57593601032295], [7.63512925001926, 47.575871393211735], [7.634962197559877, 47.57581009528331], [7.63471272106124, 47.575721307361164], [7.634635597997999, 47.57568972549394], [7.634569616176781, 47.57566270261094], [7.634537025485924, 47.57564778297036], [7.634458585884799, 47.575608702467704], [7.634348476198995, 47.57554474466154], [7.634265430358345, 47.575489015467056], [7.634180988176674, 47.57542576983729], [7.63406263968657, 47.57532212746976], [7.634027024730794, 47.575286994957374], [7.633942600126203, 47.57519935824687], [7.633874409122099, 47.575127720998196], [7.633743738103934, 47.57499047156859], [7.633707408060877, 47.574952300286924], [7.6337060071579, 47.574950827669674], [7.633661071650465, 47.57490361414935], [7.633005172808804, 47.57421254784977], [7.632900754425829, 47.574097072288374], [7.632801583892788, 47.573991912631655], [7.63272696004952, 47.57391934107189], [7.632694741536221, 47.57388939183144], [7.632661329128589, 47.573860047148585], [7.632626762730966, 47.57383131594951], [7.6325637632341, 47.573786560380555], [7.632496799874439, 47.57374450948391], [7.632426139076743, 47.573705333689375], [7.632308611478564, 47.573650056174465], [7.632183736797104, 47.5736027052006], [7.632052699421481, 47.57356371946762], [7.631909071474071, 47.57353071730401], [7.63168481137126, 47.57348292815353], [7.631545007421146, 47.573452482399375], [7.631405731270621, 47.5734209383724], [7.631267022797816, 47.573388296008496], [7.631200965830779, 47.57337231556793], [7.631135040895727, 47.573356083048076], [7.631069261316078, 47.57333960742075], [7.630665798195714, 47.573236594290016], [7.630628272088585, 47.5732270149394], [7.630360543234919, 47.57315731431481], [7.629976958766717, 47.57304887882663], [7.629965503955382, 47.573045534010014], [7.629658779278756, 47.57295605575304], [7.629633621402266, 47.5729487221979], [7.629526431517987, 47.572921305337566], [7.629304966799561, 47.57286600625584], [7.629189904152101, 47.57284080543025], [7.629093913074471, 47.572823101015445], [7.628996435349392, 47.57280961699296], [7.628897869911397, 47.572800424656734], [7.62881581481021, 47.572796088845294], [7.62873354437327, 47.5727947212455], [7.628651271258789, 47.57279633050358], [7.62805422118938, 47.57281687357733], [7.627812238413029, 47.57282520840404], [7.627699742667117, 47.57282656029886], [7.62755850748967, 47.572822391622665], [7.627478597131584, 47.57281570403105], [7.627412419503677, 47.572810163301064], [7.627268685583877, 47.5727908889216], [7.626207530772744, 47.57262964643234], [7.626178516430937, 47.57262524128876], [7.62592306300997, 47.572585765415255], [7.625667636202047, 47.572546190005106], [7.625412236008534, 47.57250651505854], [7.62491269847014, 47.57242862042559], [7.624413280754349, 47.57235036369993], [7.623913982870827, 47.57227174488315], [7.623694738066319, 47.57223709005577], [7.623475519909722, 47.572202371815315], [7.623256315049657, 47.57216757219579], [7.622499762036978, 47.57203707451177], [7.621710191168048, 47.57189990550836], [7.621601569627083, 47.57187948065852], [7.6214957141369, 47.571859546016675], [7.621475766508373, 47.571855790991854], [7.621475726608245, 47.57185578206078]], ""type"": ""LineString""}";13;Riehen;Kanton Basel-Stadt;Aeussere Baselstrasse
