geo_point_2d;geo_shape;bezeichnug;strasse;eurokey;plz;ort;www_link;gebuehr;kategorie;typ;zusatz;status
47.57854709549441, 7.588621981494122;"{""coordinates"": [7.588621981494122, 47.57854709549441], ""type"": ""Point""}";Ackerstrasse 15;Ackerstrasse 15;Nein;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.55309156780196, 7.576886071574553;"{""coordinates"": [7.576886071574553, 47.55309156780196], ""type"": ""Point""}";Bundesstrasse 2;Bundesstrasse 2;Nein;4054;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.5947905975197, 7.655900340688001;"{""coordinates"": [7.655900340688001, 47.5947905975197], ""type"": ""Point""}";Käppeligasse;Käppeligasse;Ja;4125;Riehen;;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.59275463905063, 7.644913433732535;"{""coordinates"": [7.644913433732535, 47.59275463905063], ""type"": ""Point""}";Badi Riehen;Bruckwegli;Nein;4125;Riehen;;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.58397342437284, 7.650555995630093;"{""coordinates"": [7.650555995630093, 47.58397342437284], ""type"": ""Point""}";Wettsteinanlage;Baselstr. 38;Ja;4125;Riehen;;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.56453173440388, 7.5689428672462205;"{""coordinates"": [7.56894286724622, 47.56453173440388], ""type"": ""Point""}";Burgfelderstrasse 70;Burgfelderstrasse 70;Ja;4055;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.58152820180808, 7.641317899970627;"{""coordinates"": [7.641317899970627, 47.58152820180808], ""type"": ""Point""}";Im Bändli;Brühlweg 20;Nein;4125;Riehen;;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.57566285569277, 7.655027612823217;"{""coordinates"": [7.655027612823217, 47.57566285569277], ""type"": ""Point""}";Wenkenpark;Hellring 41;Nein;4125;Riehen;;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.57376556383037, 7.657977206051224;"{""coordinates"": [7.657977206051224, 47.57376556383037], ""type"": ""Point""}";Wenkenmattweg;Wenkenmattweg 145;Nein;4125;Riehen;;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.55519526883511, 7.614527169884448;"{""coordinates"": [7.614527169884448, 47.55519526883511], ""type"": ""Point""}";Liestalermatte;Zürcherstrasse 158;Nein;4052;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
