geo_point_2d;geo_shape;schulstand;schultyp;name;vorname_k;nachname_k;funktion;strasse;hausnummer;plz;ortschaft;telefon;fax;link;email;pdf_report;geometrie
47.568729804085436, 7.594576827936974;"{""coordinates"": [7.594576827936974, 47.568729804085436], ""type"": ""Point""}";Bläsi;Kindergarten;Bläsiring 143;;;Kindergarten;Bläsiring;143;4057;Basel;+41 61 692 94 63;;;;;2611735.663000/1268680.850000
47.56569971187122, 7.59655858911646;"{""coordinates"": [7.59655858911646, 47.56569971187122], ""type"": ""Point""}";Theodor;Kindergarten;Sperrstrasse  98;;;Kindergarten;Sperrstrasse;98;4057;Basel;+41 61 692 55 42;;;;;2611885.465000/1268344.234000
47.53387861162232, 7.587950141565752;"{""coordinates"": [7.587950141565752, 47.53387861162232], ""type"": ""Point""}";Brunnmatt;Kindergarten;Hohe Winde Strasse 40;;;Kindergarten;Hohe Winde Strasse;40;4053;Basel;+41 61 361 02 22;;;;;2611244.338000/1264804.840000
47.53977031203863, 7.593362135415257;"{""coordinates"": [7.593362135415257, 47.53977031203863], ""type"": ""Point""}";Brunnmatt;Kindergarten;Ingelsteinweg 2;;;Kindergarten;Ingelsteinweg;2;4053;Basel;+41 61 208 50 32;;;;;2611650.573000/1265460.710000
47.56986308457452, 7.588967404686323;"{""coordinates"": [7.588967404686323, 47.56986308457452], ""type"": ""Point""}";Dreirosen;Kindergarten;Breisacherstrasse 134;;;Kindergarten;Breisacherstrasse;134;4057;Basel;+41 61 208 50 75;;;;;2611313.314000/1268806.039000
47.562957695208375, 7.591146425456586;"{""coordinates"": [7.591146425456586, 47.562957695208375], ""type"": ""Point""}";Dreirosen;Kindergarten;Kasernenstrasse 25;;;Kindergarten;Kasernenstrasse;25;4057;Basel;+41 61 681 71 72;;;;;2611478.766000/1268038.551000
47.565654202967245, 7.587370092633463;"{""coordinates"": [7.587370092633463, 47.565654202967245], ""type"": ""Point""}";Dreirosen;Kindergarten;Unterer Rheinweg 66;;;Kindergarten;Unterer Rheinweg;66;4057;Basel;+41 61 692 10 04;;;;;2611194.001000/1268337.830000
47.55443218554723, 7.605619365105182;"{""coordinates"": [7.605619365105182, 47.55443218554723], ""type"": ""Point""}";Gellert;Kindergarten;In den Klosterreben 17;;;Kindergarten;In den Klosterreben;17;4052;Basel;+41 61 311 00 64;;;;;2612569.980000/1267092.818000
47.54985454129361, 7.611744528649153;"{""coordinates"": [7.611744528649153, 47.54985454129361], ""type"": ""Point""}";Gellert;Kindergarten;Rennweg 89;;;Kindergarten;Rennweg;89;4052;Basel;+41 61 311 77 70;;;;;2613032.140000/1266584.832000
47.55428000709046, 7.575952019001625;"{""coordinates"": [7.575952019001625, 47.55428000709046], ""type"": ""Point""}";Gotthelf;Kindergarten;Spalenring 160;;;Kindergarten;Spalenring;160;4054;Basel;+41 61 301 25 15;;;;;2610336.941000/1267071.591000
