politische_gemeinde;bfs_nr;bezirk_bezeichnung;bezirk_nr;siedlung;einwohner_per_31_12_2018;plz;ortschaft;primarschulgemeinde;sekundarschulgemeinde;evang_kirchgemeinde;kath_kirchgemeinde
Aadorf;4551;Münchwilen;2014;Aawangen;52;8522;Aawangen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Blumenau;7;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Bohl;159;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Fohrenberg;x;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Iltishausen;14;8356;Ettenhausen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Kleinbasel;37;8357;Guntershausen b. Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Moos;12;8522;Häuslenen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Schönengrund;13;9547;Wittenwil;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Schür;9;9547;Wittenwil;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Waldau;x;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Widacker;x;8357;Guntershausen b. Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Wittershausen;13;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Aadorf;4501;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Altkloster;141;8357;Guntershausen b. Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Bsetzeli;x;9547;Wittenwil;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Ettenhausen;1098;8356;Ettenhausen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Guggenbühl;x;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Huzenwil;21;8522;Häuslenen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Häuslenen;431;8522;Häuslenen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Islikeit;147;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Kilberg;203;8356;Ettenhausen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Maischhausen;208;8357;Guntershausen b. Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Tänikon;26;8356;Ettenhausen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Vorloch;6;9547;Wittenwil;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Waldegg;7;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Weiern;76;9547;Wittenwil;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Wittenwil;347;9547;Wittenwil;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Bildacker;x;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Burg;26;8522;Häuslenen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Friedtal;9;8522;Häuslenen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Guntershausen;1087;8357;Guntershausen b. Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Langwies;x;8522;Aawangen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Leinehof;7;8356;Ettenhausen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Löhracker;200;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Matthof;118;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Reben;x;8357;Guntershausen b. Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Wiesental;7;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Affeltrangen;4711;Weinfelden;2015;Battlehausen;10;8514;Amlikon-Bissegg;Lauchetal;Affeltrangen;Affeltrangen;Tobel
Affeltrangen;4711;Weinfelden;2015;Bollsteg;81;9556;Affeltrangen;Lauchetal;Affeltrangen;Affeltrangen;Tobel
Affeltrangen;4711;Weinfelden;2015;Brunnenwies;6;9562;Märwil;Regio Märwil;Affeltrangen;Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Flurhof;x;9562;Märwil;Regio Märwil;Affeltrangen;Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Ghürst;16;9562;Märwil;Regio Märwil;Affeltrangen;Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Grossenegg;8;9556;Affeltrangen;Lauchetal;Affeltrangen;Affeltrangen;Tobel
Affeltrangen;4711;Weinfelden;2015;Himmenreich;118;9562;Märwil;Regio Märwil;Affeltrangen;Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Nägelishueb;x;9562;Märwil;Regio Märwil;Affeltrangen;Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Oberisenegg;25;9555;Tobel;Lauchetal;Affeltrangen;Affeltrangen;Tobel
Affeltrangen;4711;Weinfelden;2015;Rietwis;7;8514;Amlikon-Bissegg;Lauchetal;Affeltrangen;Affeltrangen;Tobel
Affeltrangen;4711;Weinfelden;2015;Schlatt;x;8514;Amlikon-Bissegg;Lauchetal;Affeltrangen;Affeltrangen;Tobel
Affeltrangen;4711;Weinfelden;2015;Sonnenhof (Märwil);x;9562;Märwil;Regio Märwil;Affeltrangen;Märwil;Tobel
