politische_gemeinde;bfs_nr_gemeinde;bezirk_name;bezirk_nr;ortschaft;einwohner_total;einwohner_maenner;einwohner_frauen;einwohner_0_19;einwohner_20_39;einwohner_40_64;einwohner_65plus;einwohner_schweizer;einwohner_auslaender_total;einwohner_auslaender_deutsche;einwohner_evang;einwohner_kath;einwohner_uebrige
Aadorf;4551;Münchwilen;2014;Aawangen;50;22;28;14;12;17;7;x;x;x;29;9;12
Aadorf;4551;Münchwilen;2014;Wittenwil;452;228;224;101;106;173;72;x;x;x;222;103;127
Aadorf;4551;Münchwilen;2014;Guntershausen b. Aadorf;1489;761;728;297;339;583;270;1326;163;64;499;540;450
Aadorf;4551;Münchwilen;2014;Aadorf;5171;2586;2585;1058;1337;1715;1061;4124;1047;173;1629;1561;1981
Aadorf;4551;Münchwilen;2014;Ettenhausen;1371;692;679;280;340;508;243;1260;111;44;460;497;414
Aadorf;4551;Münchwilen;2014;Häuslenen;495;249;246;88;127;193;87;443;52;26;193;110;192
Affeltrangen;4711;Weinfelden;2015;Affeltrangen;1007;539;468;227;274;342;164;793;214;42;366;342;299
Affeltrangen;4711;Weinfelden;2015;Buch b. Märwil;121;64;57;29;22;43;27;115;6;x;x;x;x
Affeltrangen;4711;Weinfelden;2015;Märwil;1118;584;534;278;297;394;149;947;171;28;446;358;314
Affeltrangen;4711;Weinfelden;2015;Zezikon;215;105;110;32;45;94;44;200;15;8;98;61;56
Affeltrangen;4711;Weinfelden;2015;Amlikon-Bissegg;103;51;52;20;34;37;12;x;x;x;53;26;24
Affeltrangen;4711;Weinfelden;2015;Tobel;39;19;20;12;6;11;10;x;x;x;x;x;x
Altnau;4641;Kreuzlingen;2013;Altnau;2280;1106;1174;499;530;863;388;1796;484;293;897;673;710
Amlikon-Bissegg;4881;Weinfelden;2015;Amlikon-Bissegg;1333;683;650;245;318;544;226;1196;137;69;569;323;441
Amlikon-Bissegg;4881;Weinfelden;2015;Bonau;x;x;x;x;x;x;x;x;x;x;x;x;x
Amriswil;4461;Arbon;2011;Amriswil;12119;6024;6095;2461;3571;3973;2114;8006;4113;535;3012;3684;5423
Amriswil;4461;Arbon;2011;Hagenwil b. Amriswil;127;63;64;28;35;48;16;117;10;x;12;99;16
Amriswil;4461;Arbon;2011;Oberaach;964;502;462;252;267;338;107;713;251;44;336;235;393
Amriswil;4461;Arbon;2011;Schocherswil;386;192;194;65;95;146;80;361;25;x;164;95;127
Amriswil;4461;Arbon;2011;Biessenhofen;149;78;71;31;37;63;18;132;17;13;66;46;37
Arbon;4401;Arbon;2011;Frasnacht;1257;642;615;275;267;517;198;997;260;83;335;454;468
Arbon;4401;Arbon;2011;Stachen;866;446;420;168;215;314;169;687;179;52;263;296;307
Arbon;4401;Arbon;2011;Arbon;12595;6291;6304;2345;3258;4352;2640;8224;4371;850;2792;3926;5877
Basadingen-Schlattingen;4536;Frauenfeld;2012;Schlattingen;759;395;364;163;162;296;138;637;122;32;351;143;265
