bfs_bezirksnummer;bezirk;bfs_gemeindenummer;gemeinde;sortierung_in_bezirk;bezirk_bis_2010;bfs_bezirksnummer_bis_2010
2011;Arbon;4401;Arbon;2;Arbon;2001
2011;Arbon;4431;Roggwil;8;Arbon;2001
2011;Arbon;4441;Salmsach;10;Arbon;2001
2011;Arbon;4451;Uttwil;12;Arbon;2001
2012;Frauenfeld;4545;Diessenhofen;15;Diessenhofen;2003
2012;Frauenfeld;4571;Gachnang;19;Frauenfeld;2004
2012;Frauenfeld;4821;Hüttwilen;23;Steckborn;2007
2012;Frauenfeld;4826;Mammern;24;Steckborn;2007
2012;Frauenfeld;4606;Stettfurt;31;Frauenfeld;2004
2012;Frauenfeld;4616;Uesslingen-Buch;33;Frauenfeld;2004
2013;Kreuzlingen;4641;Altnau;36;Kreuzlingen;2005
2013;Kreuzlingen;4643;Bottighofen;37;Kreuzlingen;2005
2013;Kreuzlingen;4646;Ermatingen;38;Kreuzlingen;2005
2013;Kreuzlingen;4651;Gottlieben;39;Kreuzlingen;2005
2013;Kreuzlingen;4681;Langrickenbach;43;Kreuzlingen;2005
2013;Kreuzlingen;4701;Wäldi;49;Kreuzlingen;2005
2015;Weinfelden;4711;Affeltrangen;63;Münchwilen;2006
2015;Weinfelden;4881;Amlikon-Bissegg;64;Weinfelden;2008
2015;Weinfelden;4891;Berg;65;Weinfelden;2008
2015;Weinfelden;4901;Birwinken;66;Weinfelden;2008
2015;Weinfelden;4911;Bürglen;68;Weinfelden;2008
2015;Weinfelden;4921;Bussnang;69;Weinfelden;2008
2015;Weinfelden;4486;Hauptwil-Gottshaus;71;Bischofszell;2002
2015;Weinfelden;4941;Märstetten;74;Weinfelden;2008
2015;Weinfelden;4511;Zihlschlacht-Sitterdorf;80;Bischofszell;2002
2011;Arbon;4461;Amriswil;1;Bischofszell;2002
2011;Arbon;4406;Dozwil;3;Arbon;2001
2011;Arbon;4411;Egnach;4;Arbon;2001
2011;Arbon;4416;Hefenhofen;5;Arbon;2001
2011;Arbon;4426;Kesswil;7;Arbon;2001
2012;Frauenfeld;4536;Basadingen-Schlattingen;13;Diessenhofen;2003
2012;Frauenfeld;4806;Eschenz;16;Steckborn;2007
2012;Frauenfeld;4561;Felben-Wellhausen;17;Frauenfeld;2004
2012;Frauenfeld;4590;Hüttlingen;22;Frauenfeld;2004
2012;Frauenfeld;4601;Neunforn;27;Frauenfeld;2004
2012;Frauenfeld;4864;Steckborn;30;Steckborn;2007
2012;Frauenfeld;4871;Wagenhausen;34;Steckborn;2007
2012;Frauenfeld;4621;Warth-Weiningen;35;Frauenfeld;2004
2013;Kreuzlingen;4656;Güttingen;40;Kreuzlingen;2005
2013;Kreuzlingen;4671;Kreuzlingen;42;Kreuzlingen;2005
2013;Kreuzlingen;4683;Lengwil;44;Kreuzlingen;2005
2013;Kreuzlingen;4691;Münsterlingen;45;Kreuzlingen;2005
2014;Münchwilen;4721;Bichelsee-Balterswil;52;Münchwilen;2006
2014;Münchwilen;4741;Lommis;56;Münchwilen;2006
2014;Münchwilen;4746;Münchwilen;57;Münchwilen;2006
2014;Münchwilen;4751;Rickenbach;58;Münchwilen;2006
2014;Münchwilen;4776;Tobel-Tägerschen;60;Münchwilen;2006
2015;Weinfelden;4471;Bischofszell;67;Bischofszell;2002
2015;Weinfelden;4476;Erlen;70;Bischofszell;2002
2015;Weinfelden;4495;Hohentannen;72;Bischofszell;2002
2015;Weinfelden;4506;Sulgen;76;Bischofszell;2002
2015;Weinfelden;4951;Wigoltingen;78;Weinfelden;2008
2011;Arbon;4421;Horn;6;Arbon;2001
2011;Arbon;4436;Romanshorn;9;Arbon;2001
2011;Arbon;4446;Sommeri;11;Arbon;2001
2012;Frauenfeld;4801;Berlingen;14;Steckborn;2007
2012;Frauenfeld;4566;Frauenfeld;18;Frauenfeld;2004
2012;Frauenfeld;4811;Herdern;20;Steckborn;2007
2012;Frauenfeld;4816;Homburg;21;Steckborn;2007
2012;Frauenfeld;4591;Matzingen;25;Frauenfeld;2004
2012;Frauenfeld;4831;Müllheim;26;Steckborn;2007
2012;Frauenfeld;4841;Pfyn;28;Steckborn;2007
2012;Frauenfeld;4546;Schlatt;29;Diessenhofen;2003
2012;Frauenfeld;4611;Thundorf;32;Frauenfeld;2004
2013;Kreuzlingen;4666;Kemmental;41;Kreuzlingen;2005
2013;Kreuzlingen;4846;Raperswilen;46;Steckborn;2007
2013;Kreuzlingen;4851;Salenstein;47;Steckborn;2007
2013;Kreuzlingen;4696;Tägerwilen;48;Kreuzlingen;2005
2014;Münchwilen;4551;Aadorf;50;Frauenfeld;2004
2014;Münchwilen;4716;Bettwiesen;51;Münchwilen;2006
2014;Münchwilen;4723;Braunau;53;Münchwilen;2006
2014;Münchwilen;4724;Eschlikon;54;Münchwilen;2006
2014;Münchwilen;4726;Fischingen;55;Münchwilen;2006
2014;Münchwilen;4761;Sirnach;59;Münchwilen;2006
2014;Münchwilen;4781;Wängi;61;Münchwilen;2006
2014;Münchwilen;4786;Wilen;62;Münchwilen;2006
2015;Weinfelden;4501;Kradolf-Schönenberg;73;Bischofszell;2002
2015;Weinfelden;4756;Schönholzerswilen;75;Münchwilen;2006
2015;Weinfelden;4946;Weinfelden;77;Weinfelden;2008
2015;Weinfelden;4791;Wuppenau;79;Münchwilen;2006
